Наименование,ИНН,Номер лицензии,Дата выдачи лицензии,Регион
ООО Комсатаси,4228009174,ОЛ-9905-РПА,11/15/2010,42
ООО Конвент Плюс,4205022394,ОЛ-4582-РПА,8/11/2005,42
ООО Константин и Павел,4223040438,ОЛ-5393-РПА,3/20/2006,42
ООО Консул,4214000781,ОЛ-6045-РПА,7/26/2006,42
ООО Континент,4205129500,ОЛ-8621-РПА,4/10/2009,42
ООО Континент-Синема,4217074679,ОЛ-7812-РПА,9/8/2008,42
ООО Копейка-НК,4220027968,ОЛ-11321-РПА,11/22/2011,42
ООО Копейка-НК,4220027968,ОЛ-11366-РПА,12/8/2011,42
ООО Кора-ТК,4205050472,ОЛ-2187-РПА,11/22/2004,42
ООО Коралл,4217079807,ОЛ-8894-РПА,9/11/2009,42
ООО Коралл,4222013784,ОЛ-11224-РПА,10/25/2011,42
ООО Коровин,4222010342,ОЛ-5700-РПА,6/27/2006,42
ООО Коровка,4214032575,ОЛ-11529-РПА,12/29/2011,42
ООО Корсар 2000,4205004010,ОЛ-3717-РПА,1/19/2005,42
ООО Кофесити,4220027291,ОЛ-3652-РПА,11/1/2007,42
ООО Крафт,4205155348,ОЛ-11194-РПА,10/6/2011,42
ООО Кредо,4229007420,ОЛ-6057-РПА,7/26/2006,42
ООО Кружка,4221027209,ОЛ-11340-РПА,11/25/2011,42
ООО Ксения,4221021937,ОЛ-11460-РПА,12/28/2011,42
ООО Кубань,4217082172,ОЛ-6083-РПА,7/28/2006,42
ООО Кузбассавтопромстрой,4205183955,ОЛ-11455-РПА,12/22/2011,42
ООО Кузбасские вина,4207050326,ОЛ-1867-РПА,2/20/2003,42
ООО Кузбассторгмаркет,4218015570,ОЛ-0211-РПА,2/28/2002,42
ООО Кузнецкий Транспортный Альянс,4205221978,ОЛ-11123-РПА,9/14/2011,42
ООО Кузнецкий терминал,4205013569,ОЛ-5638-РПА,6/8/2006,42
ООО Кузнецкрегионлес,4238012218,ОЛ-5794-РПА,6/30/2006,42
ООО Кузнецкторг,4238017520,ОЛ-5284-РПА,2/1/2006,42
ООО Кузнечанка,4214023891,ОЛ-5811-РПА,6/30/2006,42
ООО Куйбышевский торг,4217093304,ОЛ-6883-РПА,7/2/2007,42
ООО Культурно-развлекательный центр Цимус,4205067109,ОЛ-11605-РПА,1/27/2012,42
ООО Купец Плюс,4211019304,ОЛ-6531-РПА,12/15/2006,42
ООО Куранты,4211018558,ОЛ-6101-РПА,8/2/2006,42
ООО Курочка Ряба,4253002461,ОЛ-11386-РПА,12/9/2011,42
ООО ЛАГУНА,4246016223,ОЛ-9510-РПА,6/1/2010,42
ООО ЛАД,4220029193,ОЛ-4824-РПА,10/31/2005,42
ООО ЛАЗУРНЫЙ БЕРЕГ,4250004990,ОЛ-10722-РПА,12/29/2011,42
ООО ЛЕБЕДЬ,4250002103,ОЛ-5467-РПА,4/12/2006,42
ООО ЛЕВ,4202010880,ОЛ-3899-РПА,2/24/2005,42
ООО ЛЕВ,4214024221,ОЛ-5693-РПА,6/15/2006,42
ООО ЛИАНДА,4214026684,ОЛ-6683-РПА,2/12/2007,42
ООО ЛИГА-РЕСПЕКТ,4205102882,ОЛ-5691-РПА,6/15/2006,42
ООО ЛИГа плюс,4218028315,ОЛ-5780-РПА,6/26/2006,42
ООО ЛИЗА,4228009600,ОЛ-5445-РПА,4/6/2006,42
ООО ЛИНКС,4205178994,ОЛ-11534-РПА,12/29/2011,42
ООО ЛИРА,4222009883,ОЛ-5429-РПА,3/27/2006,42
ООО ЛИС,4205102628,ОЛ-5999-РПА,7/26/2006,42
ООО ЛИСТОПАД,4202010270,ОЛ-6383-РПА,10/31/2006,42
ООО ЛОЦИЯ,4205173690,ОЛ-8441-РПА,3/2/2009,42
ООО ЛУДИНГ-Кемерово,4205153710,ОЛ-7813-РПА,9/8/2008,42
ООО ЛУЧ,4214025313,ОЛ-5850-РПА,7/5/2006,42
ООО ЛЮКС,4211019093,ОЛ-6073-РПА,7/27/2006,42
ООО ЛЮМАРИ,4212032869,ОЛ-11252-РПА,11/1/2011,42
ООО ЛаСко,4205097720,ОЛ-5728-РПА,6/26/2006,42
ООО Лагуна,4212011555,ОЛ-5426-РПА,3/27/2006,42
ООО Лада,4222009820,ОЛ-4868-РПА,10/25/2007,42
ООО Лалетин,4214003180,ОЛ-1959-РПА,3/21/2005,42
ООО Лама,4214025289,ОЛ-5834-РПА,6/30/2006,42
ООО Лапландия,4228009167,ОЛ-5311-РПА,8/3/2010,42
ООО Лариса,4223040491,ОЛ-6079-РПА,7/27/2006,42
ООО Ларэн,4214033272,ОЛ-11108-РПА,8/31/2011,42
ООО ЛеДиКо,4205207420,ОЛ-11192-РПА,10/11/2011,42
ООО Левый берег,4217054136,ОЛ-11389-РПА,12/16/2011,42
ООО Легенда,4214023228,ОЛ-4865-РПА,11/14/2005,42
ООО Легия,4221008990,ОЛ-4804-РПА,10/27/2005,42
ООО Лейла,4238012190,ОЛ-3759-РПА,2/2/2005,42
ООО Лемарк,4205180810,ОЛ-8886-РПА,9/8/2009,42
ООО Леон,4223054039,ОЛ-11020-РПА,7/27/2011,42
ООО Лесная Поляна,4205222065,ОЛ-11162-РПА,9/21/2011,42
ООО Лига+Респект,4246000801,ОЛ-11514-РПА,12/28/2011,42
ООО Лига,4222012340,ОЛ-11564-РПА,1/16/2012,42
ООО Лидер,4212126443,ОЛ-4739-РПА,5/8/2008,42
ООО Лидер-Сервис,4223047433,ОЛ-7643-РПА,6/17/2008,42
"ООО Ликероводочный завод ""Кузбасс""",4218025466,ОЛ-10054-РПА,12/20/2010,42
ООО Лимак,4218004106,ОЛ-4962-РПА,12/2/2005,42
ООО Листвянский торг,4220029676,ОЛ-5225-РПА,12/30/2005,42
ООО ЛогИнвест,4205200216,ОЛ-9609-РПА,7/7/2010,42
ООО Лоза плюс,4205225570,ОЛ-11114-РПА,8/30/2011,42
ООО Лоза,4246005694,ОЛ-5717-РПА,6/26/2006,42
ООО Лоза,4205103861,ОЛ-5954-РПА,3/11/2011,42
ООО Лотос-Плюс,4214027575,ОЛ-7021-РПА,2/21/2008,42
ООО Лукошко,4217083401,ОЛ-5725-РПА,6/20/2006,42
ООО Любава,4202015550,ОЛ-5558-РПА,5/17/2006,42
ООО Любимый,4246005630,ОЛ-5060-РПА,12/16/2005,42
ООО МАГ,4238017583,ОЛ-4828-РПА,10/31/2005,42
ООО МАГНАТ,4223003179,ОЛ-5477-РПА,4/25/2006,42
ООО МАЖОР,4205129517,ОЛ-10922-РПА,7/13/2011,42
ООО МАКСИМУМ,4223042019,ОЛ-11081-РПА,8/17/2011,42
ООО МАКСИМУМ,4202029070,ОЛ-6153-РПА,8/14/2006,42
ООО МАЛАХИТ-2,4204007890,ОЛ-9252-РПА,1/25/2010,42
ООО МАНАС,4250007038,ОЛ-10357-РПА,3/17/2011,42
ООО МАРИЯ и К,4212013810,ОЛ-5760-РПА,6/26/2006,42
ООО МАРИЯ,4250002230,ОЛ-5276-РПА,1/30/2006,42
ООО МВП-Плюс,4238009504,ОЛ-0456-РПА,4/8/2005,42
ООО МЕРИДИАН,4222010286,ОЛ-5858-РПА,6/30/2006,42
ООО МЕРКУРИЙ,4221018155,ОЛ-5475-РПА,5/15/2006,42
ООО МЕРКУРИЙ,4250003192,ОЛ-5921-РПА,2/27/2010,42
ООО МЕРКУРИЙ,4202030809,ОЛ-6794-РПА,4/20/2007,42
ООО МЕРКУРИЙ,4222012646,ОЛ-8662-РПА,4/28/2009,42
ООО МЕТРО Кэш энд Керри,7704218694,ОЛ-8187-РПА,12/12/2008,77
ООО МИКОН,4234009197,ОЛ-1838-РПА,3/29/2005,42
ООО МИКС,4204007805,ОЛ-7819-РПА,9/11/2008,42
ООО МИР,4222010335,ОЛ-5774-РПА,6/30/2006,42
ООО МИРАЖ ПЛЮС,4211018893,ОЛ-5867-РПА,6/30/2006,42
ООО МИРАЖ,4240008681,ОЛ-6214-РПА,8/25/2006,42
ООО МИРАЖ,4243005632,ОЛ-5499-РПА,5/15/2006,42
ООО МИЧ,4238012962,ОЛ-7735-РПА,7/28/2008,42
ООО МОЛВА,4228011695,ОЛ-11365-РПА,12/7/2011,42
ООО МОЛОДОСТЬ,4202000138,ОЛ-1194-РПА,12/17/2002,42
ООО МП ПАРТНЕР,4228005229,ОЛ-3356-РПА,12/22/2004,42
ООО Мабитекс,4217041835,ОЛ-5488-РПА,5/8/2007,42
ООО Магазин № 13,4219000263,ОЛ-4796-РПА,10/24/2005,42
ООО Магазин № 15 Стеклянный,4202000096,ОЛ-1334-РПА,12/16/2002,42
ООО Магазин № 21,4219000150,ОЛ-0742-РПА,7/9/2002,42
ООО Магазин № 30,4219000182,ОЛ-1041-РПА,10/22/2002,42
ООО Магазин № 5,4219000217,ОЛ-7391-РПА,2/18/2008,42
ООО Магазин № 79,4211019417,ОЛ-11315-РПА,11/21/2011,42
ООО Магазин №39,4219000538,ОЛ-4799-РПА,10/24/2005,42
ООО Магнат,4214029220,ОЛ-11559-РПА,1/16/2012,42
ООО Магнит,4214031860,ОЛ-9663-РПА,7/30/2010,42
ООО Магнит,4202029521,ОЛ-6573-РПА,12/25/2006,42
ООО МакРус,4214025049,ОЛ-6198-РПА,10/9/2009,42
ООО Макаревич,4238018298,ОЛ-5424-РПА,3/27/2006,42
ООО Макс,4223039351,ОЛ-5576-РПА,10/8/2010,42
ООО Максиль,4238018442,ОЛ-5823-РПА,7/4/2006,42
ООО Маленькое кафе,4222009989,ОЛ-5764-РПА,6/27/2006,42
ООО Малина,4223040082,ОЛ-10754-РПА,6/27/2011,42
ООО Манго,4205217298,ОЛ-10498-РПА,4/27/2011,42
ООО Марина,4230020584,ОЛ-5427-РПА,4/3/2006,42
ООО Марина,4205125311,ОЛ-6776-РПА,4/5/2007,42
ООО Мария,4213006830,ОЛ-6891-РПА,6/21/2007,42
ООО Марс-Т,4207007458,ОЛ-4866-РПА,11/15/2005,42
ООО Мастер-Пицца,4202028655,ОЛ-5795-РПА,6/27/2006,42
ООО Матрица,4250002329,ОЛ-5243-РПА,1/16/2006,42
ООО Машенька,4220029771,ОЛ-11554-РПА,1/12/2012,42
ООО Маяк,4229006793,ОЛ-5358-РПА,3/2/2006,42
ООО Маяк,4214023605,ОЛ-5712-РПА,6/20/2006,42
ООО Медея,4211018942,ОЛ-11214-РПА,10/19/2011,42
ООО Меджик-Алко,4211016649,ОЛ-6195-РПА,8/23/2006,42
ООО Меджик-Алко,4211016649,ОЛ-11139-РПА,9/6/2011,42
ООО Мельница,4220029323,ОЛ-11663-РПА,2/13/2012,42
ООО Мемфис,4211017120,ОЛ-9443-РПА,4/26/2010,42
ООО Меридиан,4246005895,ОЛ-10463-РПА,4/12/2011,42
ООО Меркурий,4246005870,ОЛ-11566-РПА,1/20/2012,42
ООО Меркурий-Алко,4205110900,ОЛ-6429-РПА,11/9/2006,42
ООО Метелица,4202026866,ОЛ-11671-РПА,2/16/2012,42
ООО Мечта,4217057881,ОЛ-2756-РПА,11/11/2005,42
ООО Милленниум,4217062458,ОЛ-0424-РПА,4/10/2002,42
ООО Милый дом,4217069171,ОЛ-9965-РПА,2/2/2011,42
ООО Мимоза,4228011720,ОЛ-9598-РПА,7/6/2010,42
ООО Мир Продуктов,4223046609,ОЛ-7297-РПА,12/26/2007,42
ООО Мир продуктов,4214031821,ОЛ-9449-РПА,4/29/2010,42
ООО Мир,4238018315,ОЛ-5618-РПА,6/7/2006,42
ООО Мираж,4246006970,ОЛ-11445-РПА,12/20/2011,42
ООО Митино,4238018844,ОЛ-5801-РПА,6/27/2006,42
ООО Молодая гвардия,4205161782,ОЛ-11351-РПА,11/30/2011,42
ООО Молодежный,4231002098,ОЛ-1547-РПА,12/30/2002,42
ООО Молот,4202028976,ОЛ-6104-РПА,8/3/2006,42
ООО Мров,4205108644,ОЛ-7870-РПА,10/3/2008,42
ООО Мускатель,4205106196,ОЛ-5883-РПА,6/30/2006,42
ООО НАДЕЖДА,4218102520,ОЛ-7219-РПА,12/17/2007,42
ООО НАТАЛИ,4212004332,ОЛ-11672-РПА,2/17/2012,42
ООО НАТАША,4222003899,ОЛ-3366-РПА,11/30/2007,42
ООО НАШ,4221019310,ОЛ-5732-РПА,6/21/2006,42
ООО НЕБСОН,4222008030,ОЛ-5960-РПА,7/19/2006,42
ООО НИГ,4218001680,ОЛ-1085-РПА,11/5/2002,42
ООО НИКА ПЛЮС,4211018759,ОЛ-5907-РПА,7/7/2006,42
ООО НК-Сервис,4217119249,ОЛ-11495-РПА,12/27/2011,42
ООО НМО Профцентр,4220031273,ОЛ-5973-РПА,7/13/2006,42
ООО НОВАЯ ЭРА,4220031178,ОЛ-6640-РПА,1/19/2007,42
ООО Надежда,4246005888,ОЛ-5281-РПА,2/1/2006,42
ООО Надежда,4211018903,ОЛ-5737-РПА,6/29/2006,42
ООО Надежда,4204006537,ОЛ-5649-РПА,6/15/2006,42
ООО Надежда,4238018241,ОЛ-7099-РПА,10/31/2007,42
ООО Надежда,4202036208,ОЛ-9667-РПА,7/29/2010,42
ООО Надежда,4229006747,ОЛ-5079-РПА,12/20/2005,42
ООО Настенька,4218004219,ОЛ-0496-РПА,4/24/2002,42
ООО Натали,4220028979,ОЛ-11416-РПА,12/15/2011,42
ООО Наталья,4230022197,ОЛ-6565-РПА,12/21/2006,42
ООО Находка,4202028912,ОЛ-11128-РПА,9/7/2011,42
ООО Начало,4228001739,ОЛ-3616-РПА,12/27/2004,42
ООО Наше,4212013930,ОЛ-5982-РПА,7/17/2006,42
ООО Нежность,4202028327,ОЛ-6093-РПА,8/1/2006,42
ООО Нейжен ЛТД,4223010218,ОЛ-0517-РПА,4/27/2002,42
ООО Нива,4243005128,ОЛ-5145-РПА,12/27/2005,42
ООО Ника,4222010293,ОЛ-5818-РПА,4/25/2011,42
ООО Ника,4250001967,ОЛ-9046-РПА,11/27/2009,42
ООО Нике,4223004091,ОЛ-4090-РПА,4/4/2005,42
ООО Никитина,4238017590,ОЛ-5566-РПА,5/25/2006,42
ООО Ниса,4223042731,ОЛ-6140-РПА,8/10/2006,42
ООО НоБел,4220038367,ОЛ-8133-РПА,12/10/2008,42
ООО Новинка,4222010198,ОЛ-5767-РПА,6/26/2006,42
ООО НовоПит,4220022543,ОЛ-0353-РПА,3/28/2002,42
ООО Новокузнецкобувьторг,4220036377,ОЛ-7488-РПА,3/24/2008,42
ООО Нэро,4217068330,ОЛ-3673-РПА,1/11/2005,42
ООО ОВЕН,4228009551,ОЛ-5309-РПА,4/26/2010,42
ООО ОГОНЕК,4250000508,ОЛ-7791-РПА,8/25/2008,42
ООО ОЛГЕН,4217029531,ОЛ-1510-РПА,12/25/2002,42
ООО ОЛИКА,4212012196,ОЛ-5689-РПА,6/15/2006,42
ООО ОЛИМП,4230021059,ОЛ-5959-РПА,7/13/2006,42
ООО ОНИКС,4218106757,ОЛ-10394-РПА,3/25/2011,42
ООО ОПТОВИК,4201009850,ОЛ-6885-РПА,6/25/2007,42
ООО ОРБИТА,4205186441,ОЛ-9062-РПА,11/27/2009,42
ООО ОРИОН,4250003107,ОЛ-5750-РПА,7/6/2006,42
ООО ОРФЕЙ,4214030874,ОЛ-8891-РПА,9/9/2009,42
ООО ОРХИДЕЯ,4204007185,ОЛ-9643-РПА,7/20/2010,42
ООО Оазис,4246005609,ОЛ-5068-РПА,12/21/2005,42
ООО Обжорка,4246015276,ОЛ-11173-РПА,9/28/2011,42
ООО Обжорка,4250003379,ОЛ-6039-РПА,5/14/2010,42
ООО Общепит горы Зеленой,4217134977,ОЛ-11285-РПА,11/10/2011,42
ООО Ода,4202028101,ОЛ-5627-РПА,10/8/2009,42
"ООО Оздоровительный комплекс ""Фантазия""",4214018683,ОЛ-6847-РПА,6/5/2007,42
ООО Околица,4202033944,ОЛ-7706-РПА,7/14/2008,42
ООО Олана,4212018007,ОЛ-2742-РПА,3/10/2004,42
ООО ОлеКА,4217093294,ОЛ-11322-РПА,11/21/2011,42
ООО Олимп,4214023884,ОЛ-5203-РПА,12/6/2006,42
ООО Ольга,4222013840,ОЛ-11362-РПА,12/6/2011,42
ООО Оля,4205098481,ОЛ-5411-РПА,3/23/2006,42
ООО Орион,4229000978,ОЛ-11385-РПА,12/9/2011,42
ООО Орион,4228010349,ОЛ-6743-РПА,3/16/2007,42
ООО Остап,4223028102,ОЛ-2203-РПА,7/31/2003,42
ООО Отдых,4218100089,ОЛ-5734-РПА,6/22/2006,42
ООО Отель,4205108563,ОЛ-11673-РПА,2/16/2012,42
ООО Охота,4252001722,ОЛ-11176-РПА,9/28/2011,42
ООО Ояна,4202028165,ОЛ-5753-РПА,6/28/2006,42
ООО ПАЛИТРА,4205207719,ОЛ-10130-РПА,12/27/2010,42
ООО ПАЛИТРА,4205166942,ОЛ-8434-РПА,3/2/2009,42
ООО ПАЛЛАДА,4214023860,ОЛ-5699-РПА,6/21/2006,42
ООО ПАРАДИЗ,4205166967,ОЛ-8433-РПА,3/2/2009,42
ООО ПАРВИС,4220018709,ОЛ-7824-РПА,9/16/2004,42
ООО ПАРТНЁР,4205168668,ОЛ-9448-РПА,4/28/2010,42
ООО ПАРУС,4211021342,ОЛ-7951-РПА,10/30/2008,42
ООО ПАСТЕРНАК,4214024905,ОЛ-5817-РПА,7/5/2006,42
ООО ПЕРЕКРЕСТОК,4218027907,ОЛ-5136-РПА,12/23/2005,42
ООО ПЕРЕКРЕСТОК,4246005510,ОЛ-6232-РПА,9/14/2006,42
ООО ПИВНОЙ СОЮЗ,4221018243,ОЛ-5685-РПА,6/16/2006,42
ООО ПИВТОРГ,4205183793,ОЛ-9070-РПА,12/1/2009,42
ООО ПИПЛС,4217078049,ОЛ-5481-РПА,4/18/2006,42
ООО ПОИСК-КУЗБАСС,4221018324,ОЛ-5327-РПА,2/22/2006,42
ООО ПРЕЗЕНТ,4223041840,ОЛ-6174-РПА,8/18/2006,42
ООО ПРЕСТИЖ,4213005547,ОЛ-5082-РПА,12/27/2005,42
ООО ПРИВЕТ,4228008283,ОЛ-2667-РПА,9/21/2005,42
ООО ПРИВОЗ,4214027455,ОЛ-6903-РПА,7/2/2007,42
ООО ПРИМА,4214026490,ОЛ-7097-РПА,11/16/2011,42
ООО ПРИЧАЛ,4212015729,ОЛ-6820-РПА,12/4/2007,42
ООО ПРОСПЕКТ,4217105863,ОЛ-9139-РПА,12/15/2009,42
ООО ПРОТЕЙ,4212009404,ОЛ-4884-РПА,11/8/2006,42
ООО ПЧЕЛКА,4205109831,ОЛ-8363-РПА,2/3/2009,42
ООО ПЧЕЛКА,4205109831,ОЛ-11206-РПА,10/13/2011,42
ООО ПЯТЬ+,4202027186,ОЛ-5155-РПА,12/26/2005,42
ООО Павлов и Павлов,4221018606,ОЛ-5616-РПА,6/5/2006,42
ООО Паллада-Сервис,4238015321,ОЛ-2910-РПА,5/5/2004,42
ООО Пальмира,4211019061,ОЛ-5955-РПА,7/11/2006,42
ООО Пальмира,4223042611,ОЛ-6267-РПА,9/14/2006,42
ООО Парк-ОтельГрааль,4250001340,ОЛ-4010-РПА,3/18/2005,42
ООО Партнер,4202028729,ОЛ-11117-РПА,9/8/2011,42
ООО Парус,4212009563,ОЛ-5312-РПА,2/14/2006,42
ООО Парус,4221024060,ОЛ-7631-РПА,6/7/2008,42
ООО Парус,4204007629,ОЛ-7739-РПА,7/29/2008,42
ООО Парус,4230021700,ОЛ-6038-РПА,7/31/2006,42
ООО Пенсионер,4205094695,ОЛ-6707-РПА,2/22/2007,42
ООО Перекресток,4250003040,ОЛ-5957-РПА,7/17/2006,42
ООО Петрович,4250003266,ОЛ-6227-РПА,9/1/2006,42
ООО Пивной ресторан,4217107290,ОЛ-8276-РПА,12/26/2008,42
ООО Пигмалеон,4205104103,ОЛ-6026-РПА,7/21/2006,42
ООО Пикет,4221000768,ОЛ-4149-РПА,4/13/2005,42
ООО Пион,4231004306,ОЛ-2877-РПА,10/13/2005,42
ООО Пирамида,4222010430,ОЛ-8404-РПА,2/6/2009,42
ООО Питание-Сервис,4217057345,ОЛ-2020-РПА,3/21/2006,42
ООО Питл,4222004740,ОЛ-3316-РПА,11/9/2004,42
ООО Планета,4202012937,ОЛ-1500-РПА,12/25/2002,42
ООО ПолисТур,4205007981,ОЛ-9778-РПА,10/4/2010,42
ООО ПолисТур,4205007981,ОЛ-11457-РПА,12/22/2011,42
ООО Попутчик,4228009858,ОЛ-6015-РПА,7/20/2006,42
ООО ПрАспект,4205152900,ОЛ-7637-РПА,6/16/2008,42
ООО Прана,4205101818,ОЛ-5645-РПА,6/8/2006,42
ООО Премьер-Алко,4253001490,ОЛ-11312-РПА,11/22/2011,42
ООО Приступа,4202028694,ОЛ-11247-РПА,11/1/2011,42
ООО Провиант,4217107155,ОЛ-11333-РПА,11/24/2011,42
ООО Провинция,4222010374,ОЛ-5877-РПА,2/5/2007,42
ООО Прогресс,4212032058,ОЛ-11556-РПА,1/12/2012,42
ООО Прод-НК,4217115124,ОЛ-8996-РПА,11/5/2009,42
ООО ПродМир,4221026438,ОЛ-8612-РПА,4/6/2009,42
ООО ПродСервис,4214033071,ОЛ-11189-РПА,10/4/2011,42
ООО Продлюкс,4207050968,ОЛ-4185-РПА,5/14/2005,42
ООО Продмаркет,4217110253,ОЛ-8256-РПА,12/19/2008,42
"ООО Продовольственная торговая компания ""Мелисса""",4217077310,ОЛ-5633-РПА,6/19/2006,42
ООО Продовольственный Альянс,4214025200,ОЛ-5975-РПА,7/14/2006,42
ООО Продопт,4217063726,ОЛ-2913-РПА,5/6/2004,42
ООО Продсервис,4233001646,ОЛ-9682-РПА,8/9/2010,42
ООО Продукты,4220025008,ОЛ-2346-РПА,10/15/2004,42
ООО Продукты,4223040100,ОЛ-5403-РПА,3/21/2006,42
"ООО Производственно-коммерческая фирма Система магазинов ""ОНИКС",4212029489,ОЛ-8898-РПА,9/17/2009,42
"ООО Производственно-коммерческое предприятие ""Успех""",4214021661,ОЛ-5471-РПА,6/1/2010,42
"ООО Производственно-торговая компания ""ИРБИС""",4207054151,ОЛ-5862-РПА,6/30/2006,42
ООО Прок,4217099994,ОЛ-10474-РПА,4/25/2011,42
ООО Проспект ПРОДторг,4230021563,ОЛ-5911-РПА,7/6/2006,42
ООО Профит,4246005736,ОЛ-11177-РПА,9/29/2011,42
ООО Пурга,4221018469,ОЛ-5859-РПА,6/29/2006,42
ООО Пятёрочка - Кемерово,4205207839,ОЛ-10089-РПА,12/27/2010,42
ООО Пятачок,4218103080,ОЛ-10490-РПА,4/25/2011,42
ООО Пятый океан,4205166090,ОЛ-8812-РПА,7/15/2009,42
ООО РАДО,4223042210,ОЛ-6260-РПА,9/8/2006,42
ООО РАДО,4223042210,ОЛ-11207-РПА,10/13/2011,42
ООО РАДУГА,4243005752,ОЛ-6268-РПА,9/20/2006,42
ООО РАНЕТ,4205076544,ОЛ-6939-РПА,7/16/2007,42
ООО РАССВЕТ,4205097583,ОЛ-10752-РПА,6/27/2011,42
ООО РАХАТ-2,4250003178,ОЛ-10911-РПА,7/13/2011,42
ООО РЕГИОН,4205096558,ОЛ-7014-РПА,9/3/2007,42
ООО РЕСПЕКТ,4246006553,ОЛ-6193-РПА,8/23/2006,42
ООО РИМАЛ,4221003046,ОЛ-5864-РПА,6/30/2006,42
ООО РОСЫ,4238017897,ОЛ-5470-РПА,4/14/2006,42
ООО РУБИН,4230006558,ОЛ-7507-РПА,4/2/2008,42
ООО РУСТОРГ,4202026880,ОЛ-5148-РПА,12/23/2005,42
ООО РУСЬ,4246007028,ОЛ-5751-РПА,6/26/2006,42
ООО РаДа,4214032670,ОЛ-10231-РПА,2/7/2011,42
ООО Радий,4202027771,ОЛ-5433-РПА,3/29/2006,42
ООО Радогост,4222010367,ОЛ-5814-РПА,6/29/2006,42
ООО Радость,5406412854,ОЛ-9496-РПА,5/21/2010,54
ООО Радуга,4230021482,ОЛ-6137-РПА,8/14/2006,42
ООО Радуга,4229006761,ОЛ-5248-РПА,1/25/2006,42
"ООО Развлекательный комплекс "" КОНТИНЕНТ""",4205163684,ОЛ-8923-РПА,5/28/2010,42
"ООО Развлекательный центр ""Радуга""",4205131386,ОЛ-7140-РПА,12/17/2007,42
ООО Раздолье,4205106132,ОЛ-6022-РПА,7/20/2006,42
ООО Рассвет,4205204330,ОЛ-9730-РПА,8/25/2010,42
ООО Рассвет,4222013294,ОЛ-11381-РПА,12/8/2011,42
ООО Рассвет,4205105361,ОЛ-6060-РПА,7/26/2006,42
ООО Растом,4217044716,ОЛ-11484-РПА,12/28/2011,42
ООО Рацион,4205133626,ОЛ-7311-РПА,12/27/2010,42
ООО Регион 42,4212031110,ОЛ-11215-РПА,10/19/2011,42
ООО Регион-торг,4212012728,ОЛ-5922-РПА,7/7/2006,42
ООО Результат,4217118559,ОЛ-9675-РПА,7/29/2010,42
ООО Респект-К,4202033221,ОЛ-7552-РПА,4/22/2008,42
ООО РестИнвест,4205223661,ОЛ-11268-РПА,11/3/2011,42
ООО РестКо,4205118924,ОЛ-11481-РПА,12/27/2011,42
"ООО Ресторан ""Волна""",4205164367,ОЛ-11581-РПА,1/17/2012,42
ООО Ресторан Елена,4228009872,ОЛ-5879-РПА,12/19/2006,42
ООО РиКо,4240008280,ОЛ-5551-РПА,5/17/2006,42
ООО РиО,4202034754,ОЛ-9056-РПА,11/30/2009,42
ООО Ритон,4229005694,ОЛ-5350-РПА,2/28/2006,42
ООО Родник,4228007699,ОЛ-11411-РПА,12/12/2011,42
ООО Родничок,4223040815,ОЛ-5746-РПА,6/26/2006,42
ООО Родничок,4241002322,ОЛ-10425-РПА,4/1/2011,42
ООО Роз-торг,4218024857,ОЛ-9410-РПА,4/27/2010,42
ООО Розницио-Н,5406386900,ОЛ-6889-РПА,6/20/2007,54
ООО Ромашка,4202027845,ОЛ-6455-РПА,7/22/2011,42
ООО Ромашка,4202028609,ОЛ-5916-РПА,7/7/2006,42
ООО Роса-98,4208012370,ОЛ-3839-РПА,10/4/2006,42
ООО Росинка,4205148799,ОЛ-7671-РПА,7/1/2008,42
ООО Росинтер Ресторантс Новокузнецк,4217063557,ОЛ-4174-РПА,4/18/2005,42
ООО Рост,4214023771,ОЛ-5606-РПА,6/19/2006,42
ООО Росы,4205043098,ОЛ-11175-РПА,9/29/2011,42
ООО Рубин,4239005005,ОЛ-1361-РПА,12/27/2002,42
ООО Рубин,4213005890,ОЛ-5375-РПА,3/20/2006,42
ООО Руслан,4243005713,ОЛ-6059-РПА,7/25/2006,42
ООО Русс КО,4250002569,ОЛ-5842-РПА,6/30/2006,42
ООО Рута,4212016391,ОЛ-6323-РПА,9/29/2006,42
ООО Рябина,4205219320,ОЛ-10845-РПА,7/4/2011,42
ООО Рябина,4202028687,ОЛ-5769-РПА,6/30/2006,42
ООО САЛЬЯН,4211019128,ОЛ-7096-РПА,10/30/2007,42
ООО САМБОРО,4214026726,ОЛ-9387-РПА,3/31/2010,42
ООО СВ -сервис,4223040830,ОЛ-5357-РПА,3/2/2006,42
ООО СВЕТЛАНА,4246006507,ОЛ-5386-РПА,3/27/2006,42
ООО СВЕТЛАНА,4205101617,ОЛ-9786-РПА,9/21/2010,42
ООО СВЕТЛЯЧОК,4212015493,ОЛ-11273-РПА,11/9/2011,42
ООО СДС-МАРКЕТ,4205102900,ОЛ-9360-РПА,3/22/2010,42
ООО СЕВЕР,4250002706,ОЛ-5619-РПА,6/5/2006,42
ООО СЕВЕР,4230021612,ОЛ-5807-РПА,7/3/2006,42
ООО СЕМЕРКА,4246016382,ОЛ-11348-РПА,11/28/2011,42
ООО СЕМЬЯ,4214023669,ОЛ-5636-РПА,6/15/2006,42
ООО СИБИЗО,4218023109,ОЛ-11560-РПА,1/16/2012,42
