"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по  МО города Усолье-Сибирское",,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,
,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями)
92,"Общество с ограниченной ответственностью ""Арктика""
ИНН 3812133641","МИ ФНС № 17 по Иркутской области
Юр. Адрес: г. Иркутск, 
ул.Набережная Иркута, 1"," № 255 от 24.07.2012 взамен А 201055 рег. № 239 от 07.06.2012 г.
с 07.06.2012 г. по 07.02.2014 г.
взамен: 
 А 221997 рег. № 234 от 05.05.2012 г.
с 05.05.2012 г. по 07.02.2014 г.
","Боханский район, с. Олонки, ул. Депутатская, 21а, Жигаловский район, с. Рудовка, ул. Куйбышева, 12",,,,,
93,"Общество с ограниченной ответственностью 
«Арен»
ИНН 3819008093
","МИ ФНС № 18 по Иркутской области
Юр.  адрес:
г. Усолье-Сибирское,
ул. Ленина, 87
","Сер. А 221981 рег. № 217 от 10.02.2012 г. 
с 10.02.2012 г. по 09.02.2013 г.
","ул. Трактовая, 5, кафе «Домашний очаг»
",,,,,
94,"Общество с ограниченной ответственностью «Мастер»
ИНН 3819016464
","МИ ФНС № 18 по Иркутской области
Юр. адрес:
г. Усолье-Сибирское
ул. Куйбышева, 1а-42
","Сер. А 221982 рег. № 218 от 22.02.2012 г. 
с 22.02.2012 г. по 21.02.2013 г.
","г. Усолье-Сибирское
ул. Куйбышева, 1а-42, магазин
",,,,,
95,"Общество с ограниченной ответственностью «Каприз+»
ИНН 3819020083
","МИ ФНС № 8 по Иркутской области
Юр. адрес:
г. Усолье-Сибирское
ул. Молотовая, 123
","Сер. А 221984 рег. № 220 от 27.02.2012 г. 
с 27.02.2012 г. по 26.02.2013 г.
","г. Усолье-Сибирское, ул. Молотовая, 123,
ресторан ""Царское село""
",,,,,
96,"Общество с ограниченной ответственностью 
«Апшерон» 
ИНН 3819015020

","МИ ФНС № 8 по Иркутской обл. и УОБАО
Юр.  адрес:
г. Усолье-Сибирское 
ул. Мира, 26
","Сер. А 221985 рег. № 222 от 06.03.2012 г.  
с 06.03.2012 г. по 05.03.2013 г.
","ул. Мира, 26, кафе «Апшерон»

",,,,,
97,"Общество с ограниченной ответственностью «КЕДР»
ИНН 3819015598
","МИ ФНС № 8 по Иркутской области и УОБАО Юр.  адрес: г.Усолье-Сибирское ул. Луначарского, 37-49
","Сер. А 221987 рег. № 223 от 14.03.2012 г. 
с 14.03.2012 г. по 13.03.2013 г.                                                                    ","1. пр. Кр. партизан, 20-83,  магазин «Кедр».
2. ул. Интернациональная, 83, магазин «Кедр».
3. Усольский район, р.п. Тельма, ул. Горького, 9, магазин «Кедр».
",,,,,
98,"Общество с ограниченной ответственностью ""Телец-Маркет"" ИНН3851001222","МИ ФНС № 18 по Иркутской области                                                                                                                                                                                                                                                                                      Юр. адрес:                                                                                                                                                                                                                                                                                                                        г. Усолье-Сибирское                                                                                                                                                                                                                                                                                                ул. Стопани, 49","Сер. А 221988 рег. № 225
с 20.03.2012 г. по 19.03.2017 г.","1. ул. Стопани, 49, магазин ""Телец""
2. пр. Комсомольский, 18, магазин ""Телец""
3. пр. Ленинский, 6, магазин ""Телец""",,,,,
99,"Общество с ограниченной ответственностью
«Арктика»
ИНН 3819013343
","МИ ФНС № 8 по Иркутской обл. и УОБАО Юр.  адрес:
г.Усолье-Сибирское
пр.Кр.партизан, 29«Б»
","Сер. А 221989 рег. № 226 от 05.04.2012 г. 
с 06.04.2012 г. по 05.04.2013 г.
","пр. Кр. партизан, 29Б - магазин «Арктика»",,,,,
100,"Общество с ограниченной ответственностью ""ДЮНА""                                                                                                                                                                                                                                                  ИНН 3851001617","МИ ФНС № 18 по Иркутской области                                                                                                                                                                                                                                                                                      Юр. адрес:                                                                                                                                                                                                                                                                                                                        г. Усолье-Сибирское                                                                                                                                                                                                                                                                                                ул. Куйбышева, 11-48","Сер. А 221990 рег. № 227 от 09.04.2012 г. 
с 09.04.2012 г. по 08.04.2014 г.","ул. Богдана Хмельницкого, 2, вино-водочный отдел в магазине ""Дорожный""",,,,,
101,"Общество с ограниченной ответственностью 
«МАРЛО»
ИНН 3819015580

","МИ ФНС № 8 по Иркутской обл. и УОБАО Юр.  адрес:
г. Усолье-Сибирское 
ул. Республики, 15-5
","Сер. А 221991 рег. № 228 от 18.04.2012 г.
с 26.04.2012 г. по 25.04.2013 г.
","ул. Карла Либкнехта, 59,  магазин «Продукты»
",,,,,
102,"Общество с ограниченной ответственностью 
«Альма»
ИНН 3851005403
","МИ ФНС № 18 по Иркутской области
Юр.  адрес:
г. Усолье-Сибирское 
ул. Карла Макрса, 21а
","Сер. А 221993 рег. № 231 от 28.04.2012 г.
с 28.04.2012 г. по 27.04.2013 г.
","ул. Карла Маркса, 21а, продовольственный магазин «Альма»
",,,,,
103,"Общество с ограниченной ответственностью 
""Союз-Консалтинг""
ИНН 3851003029
","МИ ФНС № 18 по Иркутской области
Юр.  адрес:
г. Усолье-Сибирское 
ул. Линейная, 32
","Сер. А 221994 рег. № 232 от 04.05.2012 г.
с 04.05.2012 г. по 03.05.2013 г.
","г. Иркутск, ул. Киевская, 27, кафе",,,,,
104,"Общество с ограниченной ответственностью 
«Парвана»
ИНН 3819017860
","МИ ФНС № 8 по Иркутской обл. и УОБАО Юр.  адрес:
г. Усолье-Сибирское, 
ул. Луначарского, 39 «Б»-20
","Сер. А 221996 рег. № 233 от 05.05.2012 г.
с 07.05.2012 г. по 06.05.2015 г. 
","Пересечение проспектов Ленинский и Красных партизан, магазин «Анастасия»
",,,,,
105,"Общество с ограниченной ответственностью 
«Березка» 
ИНН 3819015502
","МИ ФНС № 8 по Иркутской обл. и УОБАО 
Юр. адрес: 
г. Усолье-Сибирское, 
ул. Чайковского, 35
","Сер. А 221999 рег. № 236 от 15.05.2012 г. 
с 15.05.2012 г. по 14.05.2013 г.
","ул. Менделеева, 12, магазин-кафетерий «Березка»",,,,,
106,"Общество с ограниченной ответственностью 
«Киликиа»
ИНН 3819018013
","МИ ФНС № 8 по Иркутской обл. и УОБАО Юр.  адрес:
г. Усолье-Сибирское, 
ул. Коростова, 25-1

","Сер. А 201053 рег. № 237 от 23.05.2012 г. 
с 23.05.2012 г. по 22.05.2016 г.","1. район жилых домов № 13, № 15 по ул. Сеченова, магазин «Раут».
2. ул. Коростова, 25-1, магазин «Родник».
",,,,,
107,"Общество с ограниченной ответственностью «Иволга»
ИНН 3801083090
","ИФНС по г. Ангарску Иркутской области
Юр. адрес:
г. Ангарск, м-н 10, дом 40, магазин «Шафран»
","А 176707 рег. № 181 от 10.10.2011 г.           
с 22.09.2011 г. по 21.09.2012 г.
Рег. № 66 о внесении в реестр 
МО г. Усолье-Сибирское 23.10.2008 г. 
Внесена в реестр 17.10.2011 г.
","г. Усолье-Сибирское, пр. Космонавтов, 38, мини-маркет «У дома»
",,,,,"Администрация Ангарского муниципального образования 
"
108,"Общество с ограниченной ответственностью 
«Виктан»
ИНН 3808128776

","ИФНС по Правобережному округу г. Иркутска Юр. адрес:
г. Иркутск,
ул. Степана Разина, 27
","38 МЕ 003979 рег. № АН00029 Пр20 от 02.05.2012 г.
с 05.04.2006 г. по 04.04.2016 г.
Рег. № 68 о внесении в реестр МО г. Усолье-Сибирское 28.07.2009 г.                                                                  
Внесена в реестр 21.01.2011 г.
Внесена в реестр 14.04.2011 г.
Внесена в реестр 28.04.2011 г.
Внесена в реестр 31.08.2011 г.
Внесена в реестр 28.09.2011 г.
Внесена в реестр 17.05.2012 г.","1. г. Усолье-Сибирское, ул. Луначарского, 19 «Б», вино-водочный отдел в ТЦ «Элегия».
2. г. Усолье-Сибирское, ул. Толбухина, 25 А, вино-водочный отдел в ТЦ «Сказка».
3. г. Усолье-Сибирское, пр. Космонавтов, 25, вино-водочный отдел в магазине «Хозяюшка».

",,,,,"Администрация 
г. Иркутска

"
109,"Общество с ограниченной ответственностью 
«Амик Кэш энд Керри»
ИНН 3810032648

","ИФНС по Ленинскому округу г. Иркутска
Юр.  адрес:
г. Кемерово, ул. Терешковой, 41
","38 МЕ 003387 рег. № АП03070 Пр8 от 05.08.2010 г.
с 15.11.2004 г. по 11.11.2014 г.
Рег. № 111 о внесении в реестр МО г. Усолье-Сибирское 23.12.2009 г.
Внесена в реестр 18.11.2010 г.   ","1. г. Усолье-Сибирское, пр. Космонавтов, 23, универсам «Бонус».
2. г. Усолье-Сибирское, ул. Республики, 6, универсам «Бонус».
",,,,,"Администрация 
г. Иркутска

"
110,"Общество с ограниченной ответственностью
«Янтарь»
ИНН 3812079345
","ИФНС по Свердловскому  округу г. Иркутска 
Юр. адрес:
г. Иркутск 
ул. Доржи Банзарова, 1
","38 МЕ 003949 рег. № АП03061 Пр29
от 21.03.2012 г. 
с 02.11.2004 г. по 01.11.2014 г.
Рег. № 80 о внесении в реестр 
МО г. Усолье-Сибирское 15.03.2010 г.
Внесена в реестр 18.05.2010 г.
Внесена в реестр 20.08.2010 г.                                                                                                                                                                                                                                       
Внесена в реестр 22.02.2011 г.
Внесена в реестр 06.04.2011 г.
Внесена в реестр 30.03.2012 г.

","1. г. Усолье-Сибирское, пр. Космонавтов, 20-81, магазин «Янта».
2. г. Усолье-Сибирское, ул. Менделеева, 4,
магазин «Янта». 




",,,,,"Администрация 
г. Иркутска

"
111,"Закрытое акционерное общество «Иркутскнефтепродукт» 
ИНН 3800000712
","ИФНС по Правобережному округу
Юр.адрес: г. Иркутск 
ул. Октябрьской революции, 5
","38 МЕ 003568 рег. № АН0432 Пр9
от 27.12.2010 г.
с 11.01.2008 г. по 10.01.2013 г.                                      
Рег. № 92 о внесении в реестр МО г.Усолье-Сибирское 18.02.2008 г. 
Внесена в реестр 23.07.2010 г.              
Внесена в реестр 27.01.2011 г.
","г. Усолье-Сибирское, ул. Ремонтная, 23, магазин на АЗК № 56.
",,,06.10.2011г.,,"Администрация 
г. Иркутска

"
112,"Общество с ограниченной ответственностью
«Паллада»
ИНН 3819013618
","МИ ФНС № 8 по Иркутской обл. и УОБАО 
Юр. адрес: Усольский р-он, Иркутская область, п. Средний, ул. Трактовая,14
","А 224193 рег. № 3 от 18.02.2008г.
с 18.02.2008 г. по 20.02.2012 г.                                      Рег. № 93 о внесении в реестр МО г. Усолье-Сибирское 18.02.2008 г.
","г. Усолье-Сибирское, ул. Стопани, 20,  магазин «Вино-Водка» 
",,,28.06.2011 г.,,"Администрация муниципального района Усольского районного муниципального образования

"
113,"Общество с ограниченной ответственностью
«Союз»
ИНН 3810045982
","ИФНС по Ленинскому округу г. Иркутска
Юр. адрес: г. Иркутск, 
ул. Берег Ангары, 42а
","38 МЕ 004959 рег. № АН 00438 Пр3
от 09.02.2009 г.
с 30.01.2008 г. по 29.01.2013 г.                                      Рег. № 94 о внесении в реестр МО г. Усолье-Сибирское 11.07.2008 г.
Внесена в реестр 16.02.2009 г.
","1. г. Усолье-Сибирское, ул. Республики, 6, отдел в универсаме «Мега Бонус».
2. г. Усолье-Сибирское, ул. Ленина, 93а, отдел «Вино на розлив» в универсаме «Удача».
",,,,,"Администрация 
г. Иркутска

"
114,"Общество с ограниченной ответственностью
«Торговая Марка 
Кайрос»
ИНН 3819011427
","ИФНС по Правобережному округу
г. Иркутска
Юр. адрес: г. Иркутск,
ул. Трактовая, 1, павильон 1
","38 МЕ 003974 рег. № АП03200 Пр19
от 27.04.2012 г.
с 29.03.2005 г.по 28.03.2015 г.
Рег. № 104 о внесении в реестр МО г. Усолье-Сибирское 18.12.2009 г. 
Внесена в реестр 21.06.2010 г.
Внесена в реестр 12.10.2010 г.
Внесена в реестр 19.11.2010 г.                     
Внесена в реестр 12.01.2011 г.
Внесена в реестр 01.02.2012 г.
Внесена в реестр 15.05.2012 г.
","1. г. Усолье-Сибирское, пр. Ленинский, 3а, ПТК «Водопад», магазин № 31;
2. г. Усолье-Сибирское, пр. Ленинский, 10, магазин «АлкоМаркет».
3. г. Усолье-Сибирское, ул. Стопани, 20, магазин «Алкомаркет» (т.м. 116, 117).
4. г. Усолье-Сибирское, ул. Луначарского, 1Б – бар в ресторане «Буржуй».                                                                                                                                                                              5. г. Усолье-Сибирское, ул. Стопани, 20, отдел 156 в ТЦ ""Оптовый"".
",,,,,"Администрация 
г. Иркутска

"
115,"Общество с ограниченной ответственностью
«Камелия»
ИНН 3801080500
","ИФНС по г. Ангарску Иркутской области
Юр. адрес:
г. Ангарск, квартал 125, строение 1/13, офис 6
","А 176591 рег. № 62 от 11.05.2011 г.
с 07.04.2011 г. по 06.04.2012 г.                                      
Рег. № 108 о внесении в реестр МО г. Усолье-Сибирское 26.02.2009 г.
Внесена в реестр 13.04.2011 г.
Внесена в реестр 19.05.2011 г.
","г. Усолье-Сибирское:
1. пр. Кр. Партизан, 45, ТК «Хамелеон», павильон № 41.
2. ул. Ленина, 83, ТЦ ""Восход"", отдел ""Вино-водка"".
3. пр. Комсомольский, 81, ТЦ ""Торговый ряд"", отдел ""Вино-водка"".
4. пр. Красных партзан. 16, ТЦ ""Снежинка"", отдел ""Вино-водка"".
",,,07.04.2012г.,,"Администрация Ангарского муниципального образования

"
116,"Общество с ограниченной ответственностью
«Транспортная компания Иркутского хлебозавода»
ИНН 3808088192
","ИФНС Правобережного округа г. Иркутска
Юр. адрес: г. Иркутск, ул. Карла Маркса, 37
","38 МЕ 003595 рег. № АН00492 Пр5
от 07.02.2011 г.
с 07.07.2008 г. по 06.07.2013 г.                                                                                                                                                                                                                                                                                Рег. № 129 о внесении в реестр МО г. Усолье-Сибирское 22.06.2009 г.
Внесена в реестр 20.09.2010 г.                                                                                                                                                                                                                                                                                   Внесена в реестр 16.03.2011 г.
","г. Усолье-Сибирское, ул. Толбухина, 1, магазин «Хлеб».
",,,,,"Администрация 
г. Иркутска

"
117,"Общество с ограниченной ответственностью
«Старт»
ИНН 3812120956
","МИФНС № 17 по Иркутской области
Юр. адрес: г. Иркутск, ул. Ракитная, 14
","38 МЕ 003762 рег. № АН00636 Пр22
от 09.08.2011 г.
с 30.04.2009 г. по 29.04.2014 г.                                      
Рег. № 139 о внесении в реестр МО г.Усолье-Сибирское 14.10.2009 г.                  
Внесена в реестр 15.12.2010 г.
Внесера в реестр 31.08.2011 г.
","г. Усолье-Сибирское, ул. Энгельса, 24 – вино-водочный отдел в магазине «Домашний».",,,,,"Администрация 
г. Иркутска

"
118,"Общество с ограниченной ответственностью
«РоманТиК»
ИНН 3812123717
","МИ ФНС № 17 по Иркутской области
Юр.адрес: 
г. Иркутск, 
ул. Березовая Роща, 30
","38 МЕ 003573 рег. № АН00699 Пр6
от 28.12.2010 г.
с 27.01.2010 г. по 26.01.2015 г.
Рег. № 157 о внесении в реестр МО г.Усолье-Сибирское 21.06.2010 г. 
Внесена в реестр 10.08.2010 г.
Внесена в реестр 04.10.2010 г.
Внесена в реестр 22.12.2010 г.                                                            Внесена в реестр 12.01.2011 г.
","г. Усолье-Сибирское:
1. пр. Комсомольский, 18, вино-водочный отдел в магазине «Телец».
2. пр. Ленинский, 6, вино-водочный отдел в магазине «Телец».
3. ул. Магистральная, 14, вино-водочный отдел в магазине.
4. ул. Дзержинского, 1, вино-водочный отдел в магазине «Норма».
5. ул. Карла Маркса, 21а, вино-водочный отдел в магазине.
6. пр. Комсомольский, 97, вино-водочный отдел в магазине",,,,,"Администрация 
г. Иркутска
"
119,"Общество с ограниченной ответственностью «Телец+» 
ИНН 3819022683
","МИ ФНС № 8 по Иркутской области 
Юр. адрес: Иркутская обл., Усольский район, р.п. Тайтурка, 
ул. Пеньковского, строение 2
","А 224236 рег. № 6 от 11.06.2010 г.
с 11.06.2010 г. по 08.02.2015 г.                                                         Рег. № 158 о внесении в реестр МО г. Усолье-Сибирское 21.06.2010.г.","г. Усолье-Сибирское, пр. Космонавтов, 14-4, магазин «Телец».",,,,,"Администрация муниципального района Усольского районного муниципального образования


"
120,"Общество с ограниченной ответственностью «Товарный двор»
ИНН 3849005344

","МИ ФНС № 17 по Иркутской области
Юр. адрес: г. Иркутск
ул. Баррикад, 60, оф. 101
","38 МЕ 003624 рег. № АН00756Пр                                                                                                                                                                                                                                                                          от  02.03.2011 г.
с 02.09.2010 г. по  01.09.2011 г.                                                                                                                                                                                                                                                                                Рег. №  166 о внесении в реестр МО г. Усолье-Сибирское 10.09.2010 г.                                                                                                                                                                                                                                      Внесена в реестр 17.03.2011 г.           ","г. Усолье-Сибирское:
1. ул. Луначарского, 39А, супермаркет «Товарный двор».
2. пр. Химиков, 53а, отдел в магазине ""Товарный двор"".
",,,02.09.2011 г.,,"Администрация 
г. Иркутска

"
121,"Общество с ограниченной ответственностью «Стандарт-Алко»
ИНН 3808154328

","ИФНС по Правобережному округу г. Иркутска
Юр. адрес: г. Иркутск
ул. Степана Разина, 27
","38 МЕ 003973 рег. № АН00554 Пр11
от 26.04.2012 г.
с 10.12.2008 г. по 09.12.2013 г.                                                                                                                                                                                                                                                                                 Рег. № 167 о внесении в реестр МО г. Усолье-Сибирское 16.09.2010 г.
Внесена в реестр 13.10.2010 г.
Внесена в реестр 10.11.2010 г.                                                                                                                                                                                                                                                                                       Внесена в реестр 03.03.2011 г.
Внесена в реестр 06.04.2011 г.
Внесена в реестр 21.04.2011 г.
Внесена в реестр 31.08.2011 г.
Внесена в реестр 26.01.2012 г.
Внесена в реестр 17.05.2012 г.
","г. Усолье-Сибирское:
1. ул. Стопани, 20, ТЦ «Оптовый», т.м. 26.
2. пр. Комсомольский, 81, магазин в ТЦ «Торговый ряд».    
3. ул. Ленина, 93, отдел в магазине ""Юбилейный""
4. пр. Космонавтов, 19б отдел в ТЦ ""Маяк""
",,,,,"Администрация 
г. Иркутска

"
122,"Общество с ограниченной ответственностью
«Ветер»
ИНН 3812122167
","МИФНС № 17 по Иркутской области
Юр. адрес:
г. Иркутск
ул. Ракитная,  14, оф. 1
","Г 888840 рег. № 53 от 19.08.2011 г.
с 13.10.2009 г. по 13.10.2014 г.                                                                                                                                                                                                                                 Рег. № 171 о внесении в реестр МО г. Усолье-Сибирское 25.10.2010 г.
Внесена в реестр 06.12.2010 г.
Внесена в реестр 31.12.2010 г.                                                                                                                                                                                                                                                                               Внесена в реестр 07.02.2011 г.
Внесена в реестр 31.08.2011 г.
","г. Усолье-Сибирское:                                                                                     
1. пр. Комсомольский, 35-А, отдел в магазине
2. ул. Ветошкина, 35, отдел в магазине.
3. ул. Ветошкина, 38, отдел в магазине.
4. пр. Красных партизан, 24 отдел в магазине ""Белоречье""                                                                                      5. пр. Красных партизан, 24 отдел в магазине ""Катрин""                   ",,,,,"Администрация Шелеховского муниципального района


"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
123,"Общество с ограниченной ответственностью ""Ирбис плюс"" 
ИНН 3812067452","Иркутская регистрационная палата Юр. адрес: г. Иркутск, ул. Бульвар Рябикова, 33",38МЕ 003527 рег. № АН00722 Пр3 от 09.12.2010 г.                                                         с 23.04.2010 г. по 22.04.2011 г.                                                         Рег. № 181 о внесении в реестр МО г. Усолье-Сибирское 20.12.2010 г.,"г. Усолье-Сибирское пр. Комсомольский, 81, отдел в ТЦ ""Торговый ряд""",,,23.04.2011 г.,,"Администрация
г. Иркутска"
124,"Общество с ограниченной ответственностью ""Изумруд""                                                                                                                                                                                                  ИНН 3819018574","МИ ФНС № 8 по Иркутской области и УОБАО                                                                                                                                                                                                         Юр. адрес: Усольский район, с. Мальта, ул. Победы, 11",А 224240 рег. № 11 от 17.09.2010 г.                                                                                                                                                                                                                                                                  с 17.09.2010 г. по 18.05.2012 г.                                                                                                                                                                                                                                     Рег. № 184 о внесении в реестр МО г. Усолье-Сибирское 17.02.2011 г.,"г. Усолье-Сибирское, ул. Толбухина, 46, отдел в магазине ""Изумруд""",,,19.05.2012г.,,"Администрация муниципального района Усольского районного муниципального образования


"
125,"Общество с ограниченной ответственностью ""Айсберг""                                                                                                                                                                                                  ИНН 3827035654","МИ ФНС № 17 по Иркутской области                                                                                                                                                                                                                                    Юр. адрес: п. Ново-Иркутский, ул. Саянская, 11а","38МЕ 004016 рег. № АН00784 Пр8 от 05.06.2012 г.                                                                                                                                                                                                       
с 10.12.2010 г. по 09.12.2015 г.                                                                                                                                                                                                                                    
Рег. № 185 
Внесена в реестр 26.06.2012 г.","1. ул. Энгельса, 7, отдел в магазине ""Солнечный""
2. ул. Куйбышева, 14, отдел в магазине ""Океан""
3. ул. Ленина, 30а, отдел в магазине ""Тополек""
4. ул. Ватутина, отделе в магазине ""Байкал""",,,,,"Администрация 
г. Иркутска"
126,"Общество с ограниченной ответственностью ""Олимп-М"" 
ИНН 3819016908","МИ ФНС № 8 по Иркутской области и УОБАО                                                                                                                                                                                                                                   
Юр. адрес: Усольский район, р.п. Мишелевка, ул. Лесная, 19-1","А 224270 рег. № 17 от 04.07.2011 г.
с 04.07.2011 г. по 08.08.2011 г.                                                                                                                                                                                                                              
Рег. № 199 о внесении в реестр МО г. Усолье-Сибирское 06.07.2011 г.
","г. Усолье-Сибирское, ул. Стопани, 20, павильон № 46 в ТЦ ""Оптовый""",,,09.08.2011 г.,,Администрация муниципального района Усольского районного муниципального образования
127,"Общество с ограниченной ответственностью ""Роспак-Байкал"" 
ИНН 8506005248","МИ ФНС № 16 по Иркутской области                                                                                                                                                                                                                                    
Юр. адрес: г. Иркутск, ул. Рабочего Штаба, 27","38 МЕ 003056 рег. № 19 от 18.08.2011 г.
с 18.08.2011 г. по 03.04.2012 г.
Рег. № 200 о внесении в реестр МО г. Усолье-Сибирское 31.08.2011 г.","г. Усолье-Сибирское, ул. Карла Маркса, 18 вино-водочный отдел магазина ""Роспак-Байкал""",,,04.04.2012г.,,"Администрация муниципального образования ""Нукутский район"""
128,"Общество с ограниченной ответственностью ""Олимп-М"" 
ИНН 3819016908","МИ ФНС № 8 по Иркутской области и УОБАО                                                                                                                                                                                                                                   
Юр. адрес: Усольский район, р.п. Мишелевка, ул. Лесная, 19-1","А 224283 рег. № 25 от 29.09.2011 г.
с 29.09.2011 г. по 21.09.2016 г.                                                                                                                                                                                                                              
Рег. № 199 о внесении в реестр МО г. Усолье-Сибирское 03.10.2011 г.
","г. Усолье-Сибирское, ул. Стопани, 20, магазин № 46 в ТЦ ""Оптовый""",,,,,Администрация муниципального района Усольского районного муниципального образования
129,"Общество с ограниченной ответственностью ""Зодиак"" 
ИНН 3819021182","МИ ФНС № 8 по Иркутской области                                                                                                                                                                                                                                   
Юр. адрес: Усольский район, р.п. Мишелевка, переулок Бельский, 6","А 224286 рег. № 27 от 14.11.2011 г.
с 14.11.2011 г. по 03.04.2014 г.                                                                                                                                                                                                                              
Рег. № 208 о внесении в реестр МО г. Усолье-Сибирское 30.11.2011 г.
","г. Усолье-Сибирское, пр. Химиков, 1, магазин ""Моя семья""""",,,,,Администрация муниципального района Усольского районного муниципального образования
130,"Усольское районное потребительское общество
ИНН 3840000026","МИ ФНС № 8 по Иркутской области                                                                                                                                                                                                                                   
Юр. адрес: г. Усолье-Сибирское
ул. Нагорная, 22","А 224292 рег. № 01 от 18.01.2012 г.
с 18.01.2012 г. по 11.12.2014 г.                                                                                                                                                                                                                              
Рег. № 212 о внесении в реестр МО г. Усолье-Сибирское 18.01.2012 г.
","г. Усолье-Сибирское, ул. Ленина, 87, магазин № 20",,,,,Администрация муниципального района Усольского районного муниципального образования
131,"Общество с
ограниченной ответственностью
""Парадиз""
ИНН 3812095869","ИФНС по Свердловскому округу г. Иркутска                                                                                                                                                                                                                                   
Юр. адрес: г. Иркутск
ул. Ракитная, 4","АН00588Пр5 рег. № 38МЕ 003935
с 26.12.2008 г. по 25.12.2013 г.                                                                                                                                                                                                                              
Рег. № 224 о внесении в реестр МО г. Усолье-Сибирское 15.03.2012 г.
","г. Усолье-Сибирское
1. пр. Серегина, 39, магазин
2. пр. Космонавтов, 15-18, магазин",,,,,"Администрация 
г. Иркутска"
132,"Общество с ограниченной ответственностью ""Роспак-Байкал"" 
ИНН 8506005248","МИ ФНС № 16 по Иркутской области                                                                                                                                                                                                                                    
Юр. адрес: г. Иркутск, 
ул. Рабочего Штаба, 27","38 МЕ 003062 рег. № 24 от 13.04.2012 г.
с 13.04.2012 г. до 12.04.2013 г.
Рег. № 230 о внесении в реестр МО г. Усолье-Сибирское 24.04.2012 г.","г. Усолье-Сибирское, ул. Карла Маркса, 18 вино-водочный отдел ",,,,,"Администрация муниципального образования ""Нукутский район"""
133,"Общество с ограниченной ответственностью 
«Алмаз-Ангарск»
ИНН 3801113410
","г. Ангарск, 215-й кв-л, строение 40","А 201052 рег. № 238 от 01.06.2012 г. 
с 01.06.2012 г. по 31.05.2013 г.","ул. Стопани, 41-9а, магазин ""Тюльпан""
",,,,,
134,"Общество с ограниченной ответственностью 
«ДЕРЖАВА»
ИНН 3819015686
","г. Усолье-Сибирское, 
ул. Менделеева, 71
","А 201056 рег. № 240 от 07.06.2012 г.
С 07.06.2012 г. По 06.06.2013 г.","ул. Менделеева, 71, ресторан «Старый город», 
",,,,,
135,"Общество с ограниченной ответственностью 
«Рита»
ИНН 3819016898
","г. Усолье-Сибирское, 
ул. Трактовая, 1
","А 201058 рег. № 243 от 20.06.2012 г. 
с 20.06.2012 г. по 19.06.2017 г.
","ул. Орджоникидзе, 31, торговый павильон в ТЦ «Элегант-1»

",,,,,
136,"Общество с ограниченной ответственностью
«Эпсилон»
ИНН 3819010141
","г. Усолье-Сибирское
ул. Карла Маркса, 18
","№ 248 от 11.07.2012 взамен А 201059 рег. № 244 от 22.06.2012 г. 
с 22.06.2012 г. по 21.06.2017 г.

","Усольский район, р.п. Белореченский, 100в
",,,,,
137,"Общество с ограниченной ответственностью 
«Весна»
ИНН 3819005649
","г. Усолье-Сибирское 
ул. Ватутина, 12
","А 201061 рег. № 245 от 26.06.2012
с 26.06.2012 г. По 25.06.2013 г.","ул. Ватутина, 12, магазин «Весна»",,,,,
138,"Общество с ограниченной ответственностью
«Ника»
ИНН 3819015703
","г. Усолье-Сибирское 
ул. Клары Цеткин, 91а
","Сер. А 201062 рег. № 246 от 29.06.2012 г.
с 30.06.2012 г. по 29.06.2015 г.
","ул. Клары Цеткин, 91а, магазин «Купеческий двор»",,,,,
139,"Общество с ограниченной ответственностью ""Изумруд""                                                                                                                                                                                                  ИНН 3819018574","Усольский район, 
с. Мальта, 
ул. Победы, 11","А 224305 рег. № 15 от 29.05.2012 г.
с 29.05.2012 г. по 28.05.2013 г.
Внесена в реестр МО г. Усолье-Сибирское 07.06.2012 г. рег. № 241","г. Усолье-Сибирское, продовольственный магазин в районе дома 46 по ул. Толбухина",,,,,"Администрация муниципального района Усольского районного муниципального образования


"
140,"Общество с ограниченной ответственностью 
«Дельта СК»
ИНН 3819016665
","МИ ФНС № 8 по Иркутской обл. и УОБАО
Юр.  адрес:
г. Усолье-Сибирское, ул. Машиностроителей, 11
","№ 252/1 от 18.07.2012 по 17.08.2013
","г. Усолье-Сибирское, ул. Машиностроителей, 11",,,,,
