№ дела,"Наименование организации, организационно-правовая форма",ИНН организации,КПП организации,Место нахождения организации,Адрес электронной почты,Адрес места осуществления лицензируемого вида деятельности обособленным подразделением организации,КПП обособленного подразделения организации,Код субъекта РФ по месту нахождения организации,Код субъекта РФ по месту осуществления лицензируемого вида деятельности обособленным подразделением организации,Вид лицензируемой деятельности,Вид продукции, Серия лицензии,Номер лицензии,Наименование лицензирующего органа выдавшего лицензию,Дата выдачи лицензии,Дата окончания действия лицензии,Дата приостановления действия лицензии,Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования действия лицензии,Статус лицензии,Дата изменения статуса,Регистрационный номер лицензии,Руководитель организации,Контактный телефон,К-во лицензиатов,К-во объектов,в т.ч. объектов общественного питания,Дата государственной регистрации ЮЛ,ОГРН,Плановая проверка (когда),количество объетов,Внеплановая проверка,количество объектов,,,,,,,,,,,,
,,,,,,"2. г. Рассказово, ул. Советская, 99 - магазин ""Бегемот""; 3.г. Рассказово, ул. Воронежская, 6а - магазин ""Бегемот""",,68,,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,68,,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,"ООО ""Кристалл""",68280050016,682801001,"г.Рассказово, ул.Тимирязева,                            д.40",,"1.г. Рассказово, ул.Тимирязева,40,торговый  магазин ""Кристалл"" ",,68,,,,68 МЕ ,004656,Управление по развитию промышленности и предпринимательства Тамбовской области,18.06.2012,18.06.2013,,,,,действующая,,4423 от 14.06.2012,Ерофеев                                 Александр                                                  Иванович                                         ,(31)                           3-34-49; 89106508889,1,1,,5/2/2006,1066828015165,,,,,,,,,,,,,,,,
283,"ООО ""Континент""",6828004830,682801001,"г. Рассказово, ул.Фабричный проезд, 10 магазин",sh-direxspl@econom.tmb.ru,"1.г. Рассказово, ул.Куйбышеа,166,магазин ""Эконом""                                                                                                                    ",682801001,68,68,розничная продажа алкогольной продукции,,68 МЕ ,004776,Управление по развитию промышленности и предпринимательства Тамбовской области,10.07.2012,10.07.2013,,,,,действующая,,4550 от 09.07.2012,Куприянов Александр Витальевич,89107571717,1,1,,2/17/2006,1066828003406,,,,,,,,,,,,,,,,
,,,,,,"2.г. Рассказово, проезд Фабричный,10,магазин ""Эконом""",682801001,68,68,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,,,,,,"3. Сампурский район, п. Сатинка, ул. Советская, 15",,68,68,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
299,"ООО ""Престиж""",6828004990,682801001,"г.Рассказово, ул.Тимирязева,д.5",shatovkinat@mail.ru,"1.ул.Тимирязева,5,павильон ""Престиж "" 2.проезд Фабричный,19,магазин ""Престиж""                                             ",,68,68,розничная продажа алкогольной продукции,,68 МЕ,004727,Управление по развитию промышленности и предпринимательства Тамбовской области,27.06.2012  ,27.06.2013,,,,,действующая,,4415 от 27.06.2012,Шатовкина                                                         Татьяна                Ивановна,8-910-654-28-36                ,1,2,,4/21/2006,1066828015132,,,,,,,,,,,,,,,,
315,"ООО ""Вектор""",6828005062,682801001,"г. Рассказово, ул. Красноармейская, 239 а",,"1. Г. Рассказово, ул. Красноармейская, 239 а - магазин ""Вектор""",,68,,,,68 МЕ ,004672,Управление по развитию промышленности и предпринимательства Тамбовской области,30.06.2012,30.06.2013,,,,,действующая,,4439 от 19.06.2012,Заливина                               Любовь                                       Яковлевна,(231)                         2-31-70    89204824343,1,1,,,1066828015418,,,,,,,,,,,,,,,,
1112,"ООО ""АТОМ""",6828005721,682801001,"г. Рассказово, ул. Маяковского, д.4",,"г. Рассказово, ул. Маяковского, д.4; магазин ""Бегемот""",,68,,,,МЕ   ,002976,Управление по развитию промышленности и предпринимательства Тамбовской области,25.12.2007,25.12.2012,,,,,действующая,,,Толстых Вадим Александрович,89106588666   ,1,1,,,1076828000413,,,,,,,,,,,,,,,,
1174 ,"ООО ""Эльза плюс""",6828004750,682801001,"г. Рассказово, ул. Ленинградская,15",,"1. г. Рассказово, Куйбышевский проезд, 6;кафе ""Эльза плюс""",,68,,,,68 МЕ  ,003131,Управление по развитию промышленности и предпринимательства Тамбовской области,22.05.2008,22.05.2013,,,,,действующая,,,Абрамян Назико Аветиковна, 89158721540;84753223258; 84753223070(д),1,1,1,,1066828000865,,,,,,,,,,,,,,,,
394,"ООО ""Сильф""",6828005111,682801001,"г.Рассказово,                     ул 60 лет Рас-               сказово,2-а",zastavushka@leist.ru,"1.ул.60.лет Рассказово,2-а,магазин ""Восточный"" ; 2.г. Рассказово, ул. 8 Марта, 2а магазин",,68,68,розничная продажа алкогольной продукции,,68 МЕ  ,004808,Управление по развитию промышленности и предпринимательства Тамбовской области,17.07.2012,17.07.2013,,,,,действующая,,31.07.2012№4642,Орлова                                                               Светлана                                 Ивановна,(47531) 2-72-77; 8-915-863-09-25,1,2,,6/13/2006,1066828015539,,,,,,,,,,,,,,,,
370,"ООО ""Меркурий""",6828005070,682801001,"г.Рассказово,                         ул.Пролетарская                   д.78-а",merkalko@yandex.ru,"1.г.Рассказово, ул.Пролетарская,78-а,павильон ""Меркурий""; 2. г. Рассказово, ул. Ткацкая, 2а магазин",,68,68,розничная продажа алкогольной продукции,, 68МЕ  ,004807,Управление по развитию промышленности и предпринимательства Тамбовской области,17.07.2012,17.07.2013,,,,,действующая,,4579 от 16.07.2012,Суслин                          Валерий                                               Алексеевич,(47531)2-64-74; 8-910-656-44-44,1,2,,5/30/2006,1066828015473,,,,,,,,,,,,,,,,
457,"ООО ""Ларец""",6828005055,,"г.Рассказово, ул.Некрасова,                                                       34-а",,"1.ул.Некрасова,34-а,магазин ""Ларец""",,68,,,,68 МЕ                         ,004080 ,Управление по развитию промышленности и предпринимательства Тамбовской области,01.07.2011 ,01.07.2012,,,,,истекла,7/1/2012,01.07.2011 № 3723,Петров                                         Юрий                                         Владимирович,(31)                                               3-03-91: 8-910-754-73-01, , ,,,1066828015286,,,,,,,,,,,,,,,,
457,"ООО ""Ларец""",6828005055,682801001,"г.Рассказово, ул.Некрасова, 34-а",kominform@mail.ru,"1. г. Рассказово, ул.Некрасова,34-а,магазин ""Ларец""",682801001,68,68,розничная продажа алкогольной продукции,,68 МЕ                         ,004959,Управление по развитию промышленности и предпринимательства Тамбовской области,25.09.2012,29.09.2013,,,,,действующая,,4777 от 24.09.2012,Петров                                         Юрий                                         Владимирович,(475231)3-03-91; 89107547391,1,1,,5/16/2006,1066828015286,,,,,,,,,,,,,,,,
423,"ООО ПП                        ""Лагуна""",6828004679,682801001,"г.Рассказово, ул.Пролетарская д.241-в",ooopp.laguna@mail.ru,"1.ул.Пушкина,231-а,магазин ""Родничек"";  2.г. Рассказово, ул. Пролетарская, 210 - магазин ""Радуга""",,68,68,розничная продажа алкогольной продукции,,68 МЕ  ,004762,Управление по развитию промышленности и предпринимательства Тамбовской области,07.07.2012,07.07.2014,,,,,действующая,,4537 от 05.07.2012,Самойлов                                            Игорь                                   Николаевич,(31)                                                 28413                         8-910-750-82-41,1,2,,12/9/2005,1056876414132,,,,,,,,,,,,,,,,
448,"ООО ""Светлана""",6828004608,682801001,"г.Рассказово,                         ул.Красноармейская,72",eooosvetlana@list.ru,"1.г.Тамбов,ул.Советская/Ленинградская,88/14,  магазин ""Светлана"" ; 2. г. Рассказово, ул. Красноармейская, 72  , магазин                                                                     2.г.Рассказово,ул.Красноармейская,72  магазин     ""Восход"" ",,68,68,розничная продажа алкогольной продукции,,68 МЕ ,004842,Управление по развитию промышленности и предпринимательства Тамбовской области,26.07.2012,26.07.2013,,,,,действующая,,16.08.2012 № 4693,Багдасарян                                    Самвел                                        Аршамович,71-88-71                89106506213 Ггалина Евгеньевна),1,2,,11/1/2005,1056876412647,12.05.2009,,,,,,,,,,,,,,,
516,"ООО ""Рябинушка""",6828005136,682801001,"г.Рассказово, ул.Пионерская,                                д.1-в",red57-68ru@mail.ru,"1.г. Рассказово, ул.Пионерская,1-в,магазин ""Рябинушка""; 2. г. Рассказово, ул. Тамбовская, 141 - магазин ",682801001,68,68,розничная продажа алкогольной продукции,,68 МЕ ,004877,Управление по развитию промышленности и предпринимательства Тамбовской области,08.08.2012,08.08.2013,,,,,действующая,,07.08.2012 №4669,Краснослободцева                     Людмила                              Валентиновна,"(47531) 3-04-84, 8-910-651- 64-15(Геннадий Владимирович)",1,1,,6/16/2006,1066828015572,,,,,,,,,,,,,,,,
556,"ООО ""Долина""",6828004943,,"г. Рассказово, ул. Комсомольская, 266",,"1.г. Рассказово, ул. Некрасова, 30 - магазин ""Долина""",,68,,,,68МЕ   ,004179,Управление по развитию промышленности и предпринимательства Тамбовской области,01.08.2011,01.08.2012,,,,,истекла,,реш. 3835 от 29.07.2011,Смирнова Елена Евгеньевна,89027216877 38381            32535,,,,,1066828014219,,,,,,,,,,,,,,,,
570,"ООО ""Весна""",6828003298,,"г. Расссказово, ул. Гагарина, 9",,"1. г. Рассказово, ул. Горького, 25 б - магазин ""Продукты""",,68,,,,68МЕ  ,004189 ,Управление по развитию промышленности и предпринимательства Тамбовской области,08.08.2011,08.08.2012,,,,,истекла,,реш.3853 от 04.08.2011,Житенева Татьяна Аркадьевна,27084 89107502535,,,,,1026801120202,,,,,,,,,,,,,,,,
583,"ООО ""ОРИОН""",6828003146,682801001,"г. Рассказово, п. Меховая фабрика ",popova03146@yandex.ru,"1. Рассказовский р-он, с. Котовское, ул. Советская, 36 - магазин ""Орион""",,68,68,розничная продажа алкогольной продукции,,68 МЕ  ,004891,Управление по развитию промышленности и предпринимательства Тамбовской области,14.08.2012 ,14.08.2013,,,,,действующая,,13.08.2012 №и4683,Попова Людмила Павловна,8-910-757-95-95,1,1,,12/20/2002,1026801118541,,,,,,,,,,,,,,,,
,, ,,,,"2.г. Рассказово, ул. Заречная, 27 - магазин ""Заречный""",,68,,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,,,,,,"3. г. Рассказово, п. Меховая фабрика - магазин ""Продукты"", 30",,68,,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
623,"ООО ""Коробейник""",6828005087,,"г. Рассказово, ул. Некрасова, 5",,"1. Г. Рассказово, ул. Некрасова, 5 - магазин ""Продукты""",,68,,,,68МЕ   ,004174,Управление по развитию промышленности и предпринимательства Тамбовской области,31.08.2011,31.08.2012,,,,,истекла,,реш.3830 от 28.07.2011,Носкова Наталия Александровна,32459               23418        89622342092, , ,,,1066828015495,,,,,,,,,,,,,,,,
626,"ООО ""Улей""",6828005094,682801001,"г. Рассказово, ул.Тимирязева,   д.25-а",,"1. г. Рассказово, ул.Тимирязева,25-а,павильон ""Улей"" 2. г. Рассказово, ул. Пролетарская, 241 г; магазин ""Улей""",,68,,,,68МЕ   ,004226,Управление по развитию промышленности и предпринимательства Тамбовской области,04.09.2011,04.09.2014,,,,,действующая,,30.08.2011 № 3892,Семенова Елена Алексеевна,84753126971 89107520453,1,2,,6/13/2006,1066828015517,,,,,,,,,,,,,,,,
,,,,,,"3. магазин ""Улей"" - г. Рассказово, ул. Славянская, 21",,68,,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
810,"ООО ""Агромир""",6828004076,682801001,"г.Рассказово,                                       ул.Аптекарская,2",agromir05@rambler.ru,"1.Рассказовский р-н,ст.Платоновка                  ул.Рассказовская,37,магазин",,68,,,,68 МЕ                         ,004371,Управление по развитию промышленности и предпринимательства Тамбовской области,25.12.2011 ,25.12.2012,,,,,действующая,,19/12/2011№ 4062,Бельков                                                         Владимир                                  Валентинович,(231)                                                           2-30-47                                    8-902-727-                                     41-47,1,1,,7/2/2003,1036876411681,,,,,,,,,,,,,,,,
922,"ООО ""Надежда""",6828005545,682801001,"г. Рассказово, ул. Советская, 105",olgasavenkova69@mail.ru,"1. Рассказовский р-он, с. Нижнеспасское, ул. Кооперативная, 2 а - магазин № 5",,68,68,розничная продажа алкогольной продукции,,МЕ   ,004747,Управление по развитию промышленности и предпринимательства Тамбовской области,03.07.2012,03.07.2013,,,,,действующая,,,Кудрявцева Надежда Алексеевна,"36233, 89108518623",1,1,,2/27/2007,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010,"ООО ""Лежнева""",6828005792,,"г. Рассказово, ул. Куйбышева, д. 1, пом.5",,"г. Рассказово, ул. Куйбышева, д. 1, пом.5, гостроном ""Рассказово""",,68,,,,МЕ    ,002825,Управление по развитию промышленности и предпринимательства Тамбовской области,17.08.2007,17.08.2012,,,,,истекла,,,Лежнева Нина Егоровна,20466   89106550141, , ,,,,,,,,,,,,,,,,,,,
1522,"ООО ""Фортуна""",6828006958,682801001,"г.Рассказово, ул.Комсомольская, 15",olyamischkina@yandex.ru,"1. г.Рассказово, ул.Комсомольская, 2 а - магазин; 2. г. Рассказово, Куйбышевский проезд, 6 магазин",,68,,,,68 МЕ  ,004542,Управление по развитию промышленности и предпринимательства Тамбовской области,13.04.2012,13.04.2013,,,,,действующая,,4289 от 12.04.2012,Полубояринова Елена Геннадиевна,(31) 30-333; 8-920-233-19-56 (Ольга Викторовна),1,2,,12/17/2010,1106828000355,,,,,,,,,,,,,,,,
1102,"ООО ""Гранит""",6828006034,682801001,"г. Рассказово, ул. Пензенская, 25",,"1.г. Рассказово, ул. Пензенская, 25; магазин",,68,,,,МЕ   ,002985,Управление по развитию промышленности и предпринимательства Тамбовской области,26.12.2007,26.12.2012,,,,,действующая,,25.12.2007 № 1784,Клочков Александр Владимирович,89107546053,1,1,,12/5/2007,1076828000754,,,,,,,,,,,,,,,,
,,,,,,"2. магазин ""Волна"" - г. рассказово, ул. 60 лет г. Рассказово, 29 ",,68,,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
1104,"ООО ""Лидия""",6828005432,682801001,"г. Рассказово, ул. Автомобильная, 2",,"г. Рассказово, ул. Автомобильная, 2; магазин ""Фермер""",,68,,,,МЕ    , 002979,Управление по развитию промышленности и предпринимательства Тамбовской области,26.12.2007 ,26.12.2012,,,,,действующая,,,Объедкова Лидия Евгеньевна,84753120110   89107557447   89107537447,1,1,,,1066828016089,,,,,,,,,,,,,,,,
1132,"ООО""Уют и комфорт""",6828003629,682801001,"г. Рассказово, ул. Комсомольская, 59",,"1. г. Рассказово, ул. Садовая, 3; кафе-клуб ""На Садовом""",,68,,,,68 МЕ  ,003041,Управление по развитию промышленности и предпринимательства Тамбовской области,28.02.2008,28.02.2013,,,,,действующая,,,Вартанян Гарик Самвелович,89158734094  89107577557,1,1,1,,1026801118288,2007,,,,,,,,,,,,,,,
1137,"ООО ""Империя""",6828006130,682801001,"г. Рассказово, ул. Комитетская, д.1",,"1.г. Рассказово, ул. Комитетская, д.1; кафе; ",,68,,,,68 МЕ  ,003053,Управление по развитию промышленности и предпринимательства Тамбовской области,01.04.2009 ,05.03.2013,,,,,действующая,,,Вартанова Нонна Георгиевна,89156681086  89202384272,1,1,1,,1086828000126,27.08.2009,,,,,,,,,,,,,,,
,,,,,,"2. г. Рассказово, ул. Комитетская, д.1; магазин",,68,,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,,,,,,"3. г. Рассказово, ул. 60 лет Рассказово, 29; магазин ""Продукты""",,68,,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
404,"ООО ""Быль""",6828005030,,"г.Рассказово, ул.Советская20",,"1.ул.Советская,20,магазин ""Продуктовый мир""",,68,,,,68 МЕ                         ,003903,Управление по развитию промышленности и предпринимательства Тамбовской области,27.06.2011,27.06.2012,,,,,истекла,,реш. 3534 от 27.05.2011,Кривенцова                         Елена Викторовна,(231)28853         89202378835,,,,,1066828015253,,,,,,,,,,,,,,,,
,,,,,,"2. Г. Рассказово, ул. Советская, 20 - бар",,68,,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,
1242,"ООО ""Торгово - Производственное Объединение ""Ермак""",6828004502,682801001,"г. Рассказово, ул. Пушкина, 23",,"    2. магазин: г. Рассказово, ул. Пушкина 23       ",,68,,,,68 МЕ   ,003263,Управление по развитию промышленности и предпринимательства Тамбовской области,01.12.2008,01.12.2013,,,,,действующая,,,Поляков Олег Борисович,20-2-89   89204784444     89202370077  89051225990,1,1,,,1056876409930,2007,,,,,,,,,,,,,,,
,,, ,,,"3. кафе ""Ермак"" г. Рассказово, ул. Пушкина, 23",,68,,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1200,"ООО ""Лилия""",6828006274,682801001,"г. Рассказово, ул. Аптекарская, 19",,"1.г. Рассказово, ул. Аптекарская, 19; магазин ""Лилия""",,68,,,,68 МЕ  ,003186,Управление по развитию промышленности и предпринимательства Тамбовской области,16.07.2008,16.07.2013,,,,,действующая,,,Санфирова Лариса Борисовна,23111  22735   89107557501,1,1,,,1086828000302,,,,,,,,,,,,,,,,
1388,"ООО ""Магнолия""",6828006524,682801001,"г. Рассказово, Фабричный проезд, д.1""Ж""",,"1.г. Рассказово, Фабричный проезд, д.1""Ж""; кафе ""Диана""",,68,,,,68 МЕ  ,003487,Управление по развитию промышленности и предпринимательства Тамбовской области,08.09.2009,08.09.2014,,,,,действующая,,,Ряховских Алексей Владимирович,84753125181   89107591973,1,1,1,,1096828000114,,,,,,,,,,,,,,,,
1442,"ООО ""Аврора""",6828006362,682801001,"г. Рассказово, проезд, Куйбышевский, 2",,"1. г. Моршанск, ул. Интернациональная, д. 41; кафе ""Пицца на Тамбовской""  2.г.Тамбов, ул.К Маркса, 176 а, ресторан",,68,,,,68 МЕ  ,003748,Управление по развитию промышленности и предпринимательства Тамбовской области,01.04.2011,15.01.2015,,,,,действующая,,от 14.01.2010   № 2934,Руденко Александр Анатольевич     Наумов Сергей Иванович,4-17-08   89107566910,1,2,2,,1086828000423,,,,,,,,,,,,,,,,
1601,"ООО ""Елена""",6828007447,682801001,"г. Рассказово, ул. Поселок меховой фабрики, 50",bocharova-op@mail.ru,"1. г. Рассказово, ул. Поселок меховой фабрики, 50 кафе",,68,68,розничная продажа алкогольной продукции,,68 МЕ,004764,Управление по развитию промышленности и предпринимательства области,06.07.2012,06.07.2013,,,,,действующая,,4338 от 05.07.2012,Селезнева Елена Юрьевна,89204744593,1,1,1,6/13/2012,1126828000310,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1354,"ООО ""Водолей""",6827019175,682701001,"г. Мичуринск, ул. Кооперативная, 69",,"1. г. Мичуринск, ул. Кооперативная, 69; магазин",,68,,,,68 МЕ  ,003418,Управление по развитию промышленности и предпринимательства Тамбовской области,09.05.2009,09.05.2014,,,,,действующая,,,Афанасьев Олег Николаевич,41157   89606697423,1,1,,,1096827000357,,,,,,,,,,,,,,,,
1114,"ООО ""Островок""",6827017770,682701001,"г. Мичуринск, ул. Кооперативная, 69",,"1. г. Мичуринск, пересечение ул. Обводная и Турбинная; магазин",,68,,,,МЕ   ,003002,Управление по развитию промышленности и предпринимательства Тамбовской области,11.01.2008,11.01.2013,,,,,действующая,,,Зайцева Марина Юрьевна,89107521522    62-30-75,1,1,,,1076827000953,,,,,,,,,,,,,,,,
72,"ООО ""Трис""",6827015727,682701001,"г.Мичуринск,ул.Новая,магазин ""Умка""",michtri@mail.ru,"1.ул.Лаврова-Новая,магазин ""Татьяна""                                                        2.ул.Новая,магазин ""Умка""",,68,,,,68 МЕ                         ,004529,Управление по развитию промышленности и предпринимательства Тамбовской области,07.04.12,07.04.2013,,,,,действующая,,4268 от 06.04.2012,Невзоров                              Сергей                                                           Алексеевич,(45) 2-29-20         8-910-758-42-02,1,2,,2/26/2006,1066827004188,,,,,,,,,,,,,,,,
5,"ООО ""Медея""",6827010768,682701001,"г.Мичуринск, Привокзальная пл.1",,"1. г. Мичуринск, ул.Интернациональная,112-а,Закусочная 2. г. Мичуринск, Привокзальная пл.д. 1,Кафетерий                      ",,68,,,,68МЕ   ,003673,Управление по развитию промышленности и предпринимательства Тамбовской области,02.02.2011 ,02.02.2013,,,,,действующая,,от11.01.2011 № 3260,Болотова                                     Ольга                                   Юрьевна,(47545)                               5-00-56                                 5-41-80,1,2,1,,1026801061066,,,,,,,,,,,,,,,,
750,"ООО магазин               ""Мичуринск""",6827000865,682701001,ул.Лермонтова д.5,rosmarket_bz@mail.ru,"1.г. Мичуринск, ул.Лермонтова, 5-магазин ""Мичуринск"";                           ",,68,,,,68МЕ  ,004333,Управление по развитию промышленности и предпринимательства Тамбовской области,12.12.2011,12.12.2012,,,,,действующая,,05.12.2011 № 4019,Говоров Олег Александрович,"(47545) 26669; 89051228888 (Сутормин Ю. В),89103589710 - Андрей, 890512300 - Алексей ",1,1, ,11/5/2002,1026801060945,,,,,,,,,,,,,,,,
56,"ООО магазин              ""Громушка""",6827001876,682701001,"г.Мичуринск,         Липецкое шоссе,238",gromushkaremizov@mail.ru,"1. г. Мичуринск, Липецкое шоссе,238,магазин ""Громушка"";  ",,68,,,,68МЕ   ,004502,Управление по развитию промышленности и предпринимательства Тамбовской области,30.03.2012,30.03.2013,,,,,действующая,,от 21.03.2011 № 3335,Ремизов                                             Геннадий                                  Юрьевич,(47545)2-06-63; 20705; 8-905-085-7508,1,1, ,12/27/2002,1026801064949,,,,,,,,,,,,,,,,
,,,,,,"2. г. мичуринск, Липецкое шоссе, 238, бар ""Громушка"" ",,68,,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,
,,,,,,"3.г. Мичуринск, ул.Советская,400,бар",,68,,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,
,,,,,,"4.г. Мичуринск, ул.Советская,400,магазин ""Продукты""",,68,,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
1239,"ООО ""Ривьера""",6827018358,682701001,"г. Мичуринстк, ул. Интернациональная, 11",,"1. г. Мичуринстк, ул. Интернациональная, 11;кафе ""Ривьера""",,68,,,,68 МЕ  ,003267,Управление по развитию промышленности и предпринимательства Тамбовской области,14.11.2008,14.11.2013,,,,,действующая,,,Паньчишина Марина Борисовна,89092328756  89092328755,1,1,1,,1086827000512,,,,,,,,,,,,,,,,
1261,"ООО ""МАРЦИПАН-М""",6827018284,682701001,"г. Мичуринск, ул. 7 Ноября, 48",,"1. г. Мичуринск, ул. 7 Ноября, 48 - магазин ""Продукты""",,68,68,розничная продажа алкогольной продукции,,68 МЕ  ,003290,Управление по развитию промышленности и предпринимательства Тамбовской области,04.12.2008 ,04.12.2013,,,,,действующая,,,Дружкова Ольга Петровна,89158797023,1,1,,,1086827000424,,,,,,,,,,,,,,,,
78,"ООО магазин              ""Рябинка""",6827000706,682701001," г. Мичуринск, ул.Революционная,95",ryabinka.alko@yandex.ru,"1.г.Мичуринск,ул.Революционная,95,  магазин",,68,68,розничная продажа алкогольной продукции,, 68 МЕ                            ,004530,Управление по развитию промышленности и предпринимательства Тамбовской области,11.04.2012,11.04.2013,,,,,действующая,,№ 4269 от 06.04.2012,Новокрещенова                         Галина              Петровна,(47545) 5-46-65; 8-980-7834487,1,1,,,1026801059933,,,,,,,,,,,,,,,,
1036,"ООО ""Бриз""",6827000424,682701001,"г. Мичуринск, ул. Олимпийская",briz.424@mail.ru,"1. г. Мичуринск, п. Кочетовка-3, ул. Коммунистическая - магазин ""У клуба""",,68,68,розничная продажа алкогольной продукции,,МЕ  ,002861 ,Управление по развитию промышленности и предпринимательства Тамбовской области,04.10.07 ,04.10.12,,,,,прекращена,04.10.2012 продлена,,Протасов Александр Николаевич,"(47545) 42091, 89027289130",1,1,,,1026801064465,,,,,,,,,,,,,,,,
,,,,,,"2. г. Мичуринск, п. Кочетовка-2, ул. Олимпийская- павильон № 213",,68,68,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,,,,,,"3. г. Мичуринск, п. Кочетовка-2, ул. Олимпийская - магазин ""Бриз""",,68,68,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
1036,"ООО ""Бриз""",6827000424,682701001,"г. Мичуринск, ул. Олимпийская",briz.424@mail.ru,"1. г. Мичуринск, п. Кочетовка, ул. Коммунистическая, в районе дома № 1Б - магазин ",682701001,68,68,розничная продажа алкогольной продукции,,68МЕ,004949,Управление по развитию промышленности и предпринимательства Тамбовской области,04.10.2012 ,04.10.2014,,,,,действующая,,4761 от 10.09.2012,Протасов Александр Николаевич,"(47545) 42091, 89027289130 (89616285743 - Протасова Татьяна Викторовна)",1,1,,12/21/1998,1026801064465,,,,,,,,,,,,,,,,
,,,,,,"2. г. Мичуринск, п. Кочетовка, ул. Олимпийская, в районе магазина № 10- магазин",682701001,68,68,розничная продажа алкогольной продукции,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
1562,"ООО ""Весна""",6827021449,682701001,"г. Мичуринск, ул. Лавровский переезд, 1",,"1. г. Мичуринск, ул. Липецкое шоссе, 81А - супермаркет ""Модерн""",,68,,розничная продажа алкогольной продукции,,68МЕ   ,004335 ,Управление по развитию промышленности и предпринимательства Тамбовской области,06.12.2011 ,06.12.2012,,,,,действующая,,05.12.2011 № 4021,Ковальский Сергей Валерьевич,89606704990 - Колпаков А.П,1,1,,4/11/2011,1116827000366,,,,,,,,,,,,,,,,
1089,"ООО ""Моя семья""",6827017700,682701001,"г.Мичуринск,                               ул.Марата,113",,"1.г.Мичуринск,ул.Марата,113,магазин",,68,,розничная продажа алкогольной продукции,,МЕ   ,002963,Управление по развитию промышленности и предпринимательства Тамбовской области,20.12.07,20.12.2012,,,,,действующая,,,Бочарова                             Лариса                                                               Алексеевна,5-54-42                                     89106529077,1,1,,,1076827000887,08.08.2011,,,,,,,,,,,,,,,
117,"ООО ""Артемида""",6827015773,682701001,"г. Мичуринск, Кочетовка-3,ул.Советская, д.86",artemida68@bn.ru,"1.Кочетовка,ул.Советская,86,магазин ""Артемида""  2.Кочетовка,ул.7 Ноября,38,Лада                                                    3.г. Мичуринск, ст. Турмасово, магазин ""Артемида""4. Мичуринский р-н, с. Новоникольское, ул. Советская, 103; магазин",,68,,розничная продажа алкогольной продукции,,68МЕ  ,004580,Управление по развитию промышленности и предпринимательства Тамбовской области,10.05.2012,10.05.2015,,,,,действующая,,4333 от 02.05.2012,Кирьянов                                                     Сергей                           владимирович,"(47545) 46108,89156797478",1,4,,3/14/2006,1066827006278,,,,,,,,,,,,,,,,
