,,,,,,,,
,№ ,№ ,Организация,Вид ,Место действует,,Местонахождение,ИНН
,Е 001520,РА-121/09," ООО ""КИМЕЗ"" ОГРН 1025403643000",Действует,28.02.09,27.02.12,"г.Новосибирск, ул.Энгельса, 143",5408120046
,Е 002134,РА-696/09," ООО ""Надежда"" ОГРН 1055473132593",Действует,30.06.09,29.06.12,"г.Новосибирск, ул.Энгельса, 23, кв.13",5408238513
,Е 003777,РА-0780м/10," ООО ""Сибирь плюс"" ОГРН 1035402497426",Действует,27.12.10,26.12.11,"г.Новосибирск, ул.Ядринцевская, 16",5406257944
,Е 002696,РА-1080/09," ООО ""Акватория-А"" ОГРН 1095406004430",Действует,01.10.09,30.09.12,"г.Новосибирск, ул.Ядринцевская, 18",5406521941
,Е 003842,РА-0843м/10," ООО ""Львиное сердце"" ОГРН 1105476072943",Действует,31.12.10,30.12.13,"г.Новосибирск, ул.Ядринцевская, 48",5406647359
,Е 003998,РА-0147/11," ООО ""Шоколадница-Новосибирск"" ОГРН 1085406048771",Действует,01.04.11,31.03.12,"г.Новосибирск, ул.Ядринцевская, 53/1",5406512834
,Е 002376,РА-1380/09," ООО ""Спирит"" ОГРН 1095406037858",Действует,18.12.09,17.12.11,"г.Новосибирск, ул.Ядринцевская, 68/1",5406552386
,Е 002974,РА-1343/09," ООО ""Тибериум"" ОГРН 1065403049568",Действует,22.12.09,21.12.12,"г.Новосибирск, ул.Яковлева, 4",5403187079
,Е 004078,РА-0226/11," ООО ""МАКСИМУМ"" ОГРН 1115476023189",Действует,29.04.11,28.04.12,"г.Новосибирск, ул.Ярославского, 63",5401344819
,Е 003818,РА-0824м/10," ООО ""Ресторан ТЦ"" ОГРН 1035443639054",Действует,01.01.11,31.12.11,"г.Новосибирск, Цветной проезд, 2",5408189369
,Е 002836,РА-1211/09," ООО ""Восток-Запад"" ОГРН 1035403648631",Действует,10.11.09,09.11.12,"г.Новосибирск, Цветной проезд, 2",5408190847
,Е 004003,РА-0152/11," ООО ""ТД Сибирь"" ОГРН 1115476029888",Действует,01.04.11,31.03.12,"г.Новосибирск, Электрозаводской проезд, 1",5401345354
,Е 003952,РА-0104/11," ООО ""О' КЕЙ"" ОГРН 1027810304950",Действует,14.03.11,13.03.14,"г.Санкт-Петербург, пр.Заневский, 65, кор. 1, литер А",7826087713
,Е 003519,РА-0526м/10," ОАО ""Эпос"" ОГРН 5067847011910",Действует,13.09.10,12.09.13,"г.Санкт-Петербург, пр.Заневский, 67, кор.2, лит.А",7806337281
,Е 003074,РА-0099/10," ООО ""КИНО СИТИ НОВОСИБИРСК"" ОГРН 1077847626284",Действует,19.02.10,18.02.13,"г.Санкт-Петербург, пр.Непокоренных, 17, корп.4",7804373118
,Е 004412,РА-570/08," ООО ""Лента"" ОГРН 1037832048605",Действует,18.10.11,17.10.16,"г.Санкт-Петербург, ул.Савушкина, 112  Аэп: Info@lenta.com",7814148471
,Е 002084,РА-652/09," ООО ""Агат"" ОГРН 1087017027316",Действует,17.06.09,16.06.12,"г.Томск, ул.Алтайская, 87, кв.9",7017224587
,Е 004145,РА-0290/11," ООО ""Колорит"" ОГРН 1107017004049",Действует,02.06.11,01.05.14,"г.Томск, ул.Говорова, 11",7017257180
,Е 002800,РА-1177/09," ООО ""Компания Колорит"" ОГРН 1077017036800",Действует,29.10.09,28.10.12,"г.Томск, ул.Говорова, д.11, каб.12",7017198136
,Е 004504,РА-0547/11," ОАО ""УТ СибВО"" ОГРН 1097536004939",Действует,22.11.11,21.11.13,"г.Чита, ул.Амурская, 9  Аэп: upravlenie-t@mail.ru",7536103265
,Е 004350,РА-1064/09," ООО ""Максимум"" ОГРН 1045402487151",с 22.08.11,25.09.09,24.09.12,"Изменение м/н:  г.Новосибирск, ул.Гоголя, 42  Аэп: ishwed@mlput.ru",5406284874
,Е 00353,РА-1156/09," ООО ""Центр недвижимости ""Конкорд"" ОГРН 1045402460421",с 25.08.2011,23.10.09,22.10.12,"Изменение м/н: г.Новосибирск, пр.Строителей, 19   А эп ac_vkusa@mail.ru",5406276143
,Е 004348,РА-0108/11," ООО ""Фэт-Премиум"" ОГРН 1055513046786",с 16.08.11,17.03.11,16.03.14,"Изменение м/н: г.Новосибирск, ул.Декабристов, 92   А э п: vinpogreb@ngs.ru",5507076976
,Е 002451,РА-1454/09," ООО ""ИКЕА ДОМ"" ОГРН 1065047056348",Действует,29.12.09,28.12.12,"Московская обл., г.Химки, ""ИКЕА"", микрорайон, 1",5047076050
,Е 004021,РА-0170/11," ООО ""Меркурий"" ОГРН 1075009005532",Действует,11.04.11,10.04.14,"Московская область, г.Домодедово, микрорайон Авиационный, пр.Международный, 5, стр.3. Филиал: НСО, г.Обь-2, аэропорт ""Толмачево""",5009060902
,Е 003846,РА-0002/11," ООО ""АШАН"" ОГРН 1027739329408",Действует,22.01.11,21.01.14,"Московская область, г.Мытищи, Осташковское шоссе,1",7703270067
,Е 004198,РА-0341/11," ЗАО ""АРИАЛ"" ОГРН 1035002019084",Действует,16.06.11,15.06.14,"Московская область, Домодедовский район, аэропорт ""Домодедово""",5009043336
,Е 004455,РА-0528/11," ЗАО ""Космик"" ОГРН 1107746204158",Действует,08.11.11,07.11.16,"Московская область, Ленинский р-н, в районе дер.Ближние Прудищи, 26 км МКАД Аэп: e.koroleva@cosmik.ru",7705912697
,Е 003944,РА-0098/11," ООО ""Виктория"" ОГРН 1045406224577",Действует,05.03.11,04.03.12,"НСО, Баганский район, с.Ивановка, ул.Центральная, 19",5417104562
,Е 003794,РА-0797м/10," ПО ""Мироновское"" Баганского района Новосибирской области ОГРН 1075474000601",Действует,28.12.10,27.12.11,"НСО, Баганский район, с.Мироновка, ул.Центральная, 33",5417105277
,Е 002400,РА-1404/09," ООО ""Ланта-сервис"" ОГРН 1095470000196",Действует,23.12.09,22.12.11,"НСО, Барабинский район, 1142 км, автодороги "" Байкал""",5451112179
,Е 002555,РА-949/09," ООО ""Партнер"" ОГРН 1055471014477",Действует,11.08.09,10.08.12,"НСО, Барабинский район, с.Зюзя, ул.Молодежная, 14",5452111820
,Е 002208,РА-761/09," ООО ""Крючек"" ОГРН 1065461016170",Действует,29.06.09,28.06.12,"НСО, Болотнинский район, с.Кругликово",5413112160
,Е 002177,РА-735/09," ООО ""ИРИНА"" ОГРН 1065461016312",Действует,30.06.09,29.06.12,"НСО, Болотнинский район, с.Новобибеево, ул.Советская, 31/1",5413112178
,Е 004345,РА-0480/11," ООО ""Забава"" ОГРН 1075469000386",Действует,09.08.11,08.08.13,"НСО, Венгеровский район, с.Новый Тартас, ул.Титова, 8а",5419000583
,Е 003874,РА-0030/11," ООО ""Березка"" ОГРН 1055470013477",Действует,04.02.11,03.02.14,"НСО, г.Барабинск, ул.Деповская, 23",5451110615
,Е 002310,РА-850/09," ООО ""Русь"" ОГРН 1065470006018",Действует,10.07.09,09.07.12,"НСО, г.Барабинск, ул.Деповская, 23",5451111009
,Е 004113,РА-0258/11," ООО ""Родничок"" ОГРН 1065470003422",Действует,16.05.11,15.05.12,"НСО, г.Барабинск, ул.К.Маркса, 108",5451110823
,Е 001898,РА-474/09," ООО ""ВИЗИТ"" ОГРН 1065470005919",Действует,29.05.09,28.05.12,"НСО, г.Барабинск, ул.К.Маркса, 120, кв.5",5451110904
,Е 002226,РА-779/09," ООО ""Чайка"" ОГРН 1065470006216",Действует,30.06.09,29.06.12,"НСО, г.Барабинск, ул.К.Маркса, 95",5451111129
,Е 004051,РА-0199/11," ООО ""Антарес-4"" ОГРН 1025406624627",Действует,21.04.11,20.04.12,"НСО, г.Барабинск, ул.Кирова, 26",5444104219
,Е 004083,РА-0231/11," ООО ""Русь"" ОГРН 1085470000032",Действует,29.04.11,28.04.12,"НСО, г.Барабинск, ул.Комарова, 8",5451111680
,Е 001975,РА-549/09," ООО ""ВЕСНА"" ОГРН 1065470005985",Действует,15.06.09,14.06.12,"НСО, г.Барабинск, ул.Ленина, 196",5451110975
,Е 004239,РА-0383/11," ООО ""Дария"" ОГРН 1075470000110",Действует,04.07.11,03.07.12,"НСО, г.Барабинск, ул.Ленина, 196",5451111471
,Е 003347,РА-0364м/10," ОАО ""Барабинский торг"" ОГРН 1025406625958",Действует,02.07.10,01.07.12,"НСО, г.Барабинск, ул.Луначарского, 10",5444100567
,Е 004205,РА-0349/11, Сибирское сельпо ОГРН 1025406624946,Действует,19.06.11,18.06.12,"НСО, г.Барабинск, ул.Луначарского, 13",5418101740
,Е 001675,РА-264/09," ООО ""Надежда"" ОГРН 1065470000309",Действует,06.04.09,05.04.12,"НСО, г.Барабинск, ул.Мира, 128",5451110710
,Е 003713,РА-0716м/10," ООО ""Лига"" ОГРН 1075470000341",Действует,06.12.10,05.12.13,"НСО, г.Барабинск, ул.Путевая, 135а",5451111584
,Е 001943,РА-517/09," ООО ""ВАШЕ ЗДОРОВЬЕ"" ОГРН 1055470000410",Действует,06.06.09,05.06.12,"НСО, г.Барабинск, ул.Ульяновская, 133",5451110238
,Е 002242,РА-794/09," ООО ""ФАВОРИТ"" ОГРН 1065470006117",Действует,30.06.09,29.06.12,"НСО, г.Барабинск, ул.Юбилейная, 35",5451111023
,Е 004390,РА-537/08," ЗАО ""Сосновка"" ОГРН 1025404720351",Действует,04.10.11,03.10.14,"НСО, г.Бердск, ЗАО ""Сосновка""  Аэп: info@sosnovka.biz",5445003100
,Е 002588,РА-981/09," ООО ""Арес"" ОГРН 1065445012137",Действует,21.08.09,20.08.12,"НСО, г.Бердск, микрорайон Северный, 20",5445122718
,Е 003826,РА-0827м/10," ООО ""Очаг-С"" ОГРН 1105445001430",Действует,30.12.10,29.12.11,"НСО, г.Бердск, микрорайон, 25а",5445263388
,Е 002591,РА-984/09," ООО ""Карина-Х"" ОГРН 1065445012379",Действует,23.08.09,22.08.12,"НСО, г.Бердск, Микрорайон, 25а ""Торговый Центр""",5445122965
,Е 002395,РА-1399/09," ООО ТД ""Диамант"" ОГРН 1065445011972",Действует,26.12.09,25.12.12,"НСО, г.Бердск, микрорайон, 57",5445122556
,Е 004269,РА-0412/11," ЗАО ""Пансионат ""Былина"" ОГРН 1025404720835",Действует,08.07.11,07.07.14,"НСО, г.Бердск, п.Новый",5445101362
,Е 002794,РА-1171/09," ООО ""СЭКО"" ОГРН 1025404728480",Действует,30.10.09,29.10.12,"НСО, г.Бердск, пер.Промышленный, 2а",5445006221
,Е 004081,РА-0229/11," ООО ""Возрождение"" ОГРН 1025404723112",Действует,30.04.11,29.04.12,"НСО, г.Бердск, пер.Энгельса, 4",5445002467
,Е 002605,РА-997/09," ООО ""Афина"" ОГРН 1075445002984",Действует,27.08.09,26.08.12,"НСО, г.Бердск, ул.Вокзальная, 24а",5445254337
,Е 002076,РА-644/09," ООО ""НиВи"" ОГРН 1065445011830",Действует,30.06.09,29.06.12,"НСО, г.Бердск, ул.Вокзальная, 54",5445122436
,Е 002928,РА-1300/09," ООО ФИРМА ""ВЕСНА""  ОГРН 1025404724586",Действует,04.12.09,03.12.12,"НСО, г.Бердск, ул.Герцена, 17а",5445110913
,Е 002389,РА-1393/09," ООО ""Тартуга"" ОГРН 1095445002201",Действует,22.12.09,21.12.11,"НСО, г.Бердск, ул.Горького, 4",5445260965
,Е 002848,РА-1223/09," ООО ""Гарантия Качества"" ОГРН 1095445002180",Действует,11.11.09,10.11.12,"НСО, г.Бердск, ул.Дзержинского, 23",5445260940
,Е 001883,РА-459/09," ООО ""МЕТЕЛИЦА"" ОГРН 1025404720395",Действует,25.05.09,24.05.12,"НСО, г.Бердск, ул.Ежевичная, 9",5445108304
,Е 004139,РА-0284/11," ООО ""Санаторий ""Рассвет"" ОГРН 1075400004294",Действует,29.05.11,28.05.14,"НСО, г.Бердск, ул.Зелёная роща, 9/1",5445253534
,Е 002036,РА-605/09," ООО ""У Дома"" ОГРН 1065445011280",Действует,30.06.09,29.06.12,"НСО, г.Бердск, ул.К.Маркса, 2а",5445122066
,Е 002119,РА-686/09," ООО ""ДАР"" ОГРН 1065445007210",Действует,30.06.09,29.06.12,"НСО, г.Бердск, ул.К.Маркса, 3",5445121834
,Е 004324,РА-0463/11," ООО ""Солнышко"" ОГРН 1085445001476",Действует,30.07.11,29.07.14,"НСО, г.Бердск, ул.Кирова, 29",5445256310
,Е 003426,РА-0441м/10," ООО ""СИБИРСКИЙ МЕДВЕДЬ"" ОГРН 1025403212570",Действует,30.07.10,29.07.13,"НСО, г.Бердск, ул.Комсомольская, 6б",5407169803
,Е 004366,РА-1039/09," ООО ""АЗИЯ"" ОГРН1065445012390",Действует,14.09.11,13.09.12,"НСО, г.Бердск, ул.Левитана, 49  Адрес электронной почты: Irens.2010@mail.ru",5445122972
,Е 004302,РА-0443/11," ООО ""ТВИН (М)"" ОГРН 1085445001927",Действует,21.07.11,20.07.12,"НСО, г.Бердск, ул.Лелюха, 24",5445256528
,Е 001652,РА-245/09," ООО ""Прибой"" ОГРН 1025404721650",Действует,31.03.09,30.03.12,"НСО, г.Бердск, ул.Ленина, 13а",5445102951
,Е 002146,РА-708/09," ООО ""Капитал"" ОГРН 1065445012104",Действует,30.06.09,29.06.12,"НСО, г.Бердск, ул.Ленина, 18",5445122683
,Е 004434,РА-0516/11," ООО ""Майский"" ОГРН 1105445001496",Действует,27.10.11,26.10.12,"НСО, г.Бердск, ул.Ленина, 18   Аэп: mayskiy54@mail.ru",5445263451
,Е 001237,РА-724/08," ООО ""Санрайз"" ОГРН 1085445001993",Действует,08.12.08,07.12.11,"НСО, г.Бердск, ул.Ленина, 27",5445256599
,Е 001438,РА-046/09," ООО ""Дельфин"" ОГРН 1025404723409",Действует,03.02.09,02.02.12,"НСО, г.Бердск, ул.Ленина, 29",5445110279
,Е 003921,РА-0076/11," ООО ""Спутник"" ОГРН 1095445000243",Действует,01.03.11,29.02.12,"НСО, г.Бердск, ул.Ленина, 29",5445258980
,Е 004164,РА-0309/11," ООО ""Виола-2"" ОГРН  1025404721165",Действует,04.06.11,03.06.12,"НСО, г.Бердск, ул.Ленина, 42",5445011831
,Е 002840,РА-1215/09," ООО ""Тай Ян"" ОГРН 1065445011928",Действует,10.11.09,09.11.12,"НСО, г.Бердск, ул.Ленина, 69",5445122500
,Е 004491,РА-0538/11," ООО ""Градус"" ОГРН 11155445001341",Действует,17.11.11,16.11.12,"НСО, г.Бердск, ул.Ленина, 89/13, офис 302   Аэп: tiara_ooo@mail.ru",5445265836
,Е 004217,РА-0361/11," ООО ""Русские пироги"" ОГРН 1025404721055",Действует,29.06.11,28.06.14,"НСО, г.Бердск, ул.Ленина, 89/15",5445112438
,Е 003315,РА-0333/10," ООО ""Обские просторы"" ОГРН 1075445001411",Действует,17.06.10,16.06.13,"НСО, г.Бердск, ул.Ленина, 89/8, ком.512",5445253012
,Е 004494,РА-0542/11," ООО ""Смайл Сити"" ОГРН 1115445001484",Действует,17.11.11,16.11.12,"НСО, г.Бердск, ул.Ленина, 90    Аэп:9099919@mail.ru",5445004023
,Е 003144,РА-0168/10," ООО ""ИВУШКА"" ОГРН 1025404728172",Действует,03.03.10,02.03.12,"НСО, г.Бердск, ул.Ленина, 94а",5445007659
,Е 002383,РА-1387/09," ООО ""Роза ветров"" ОГРН 1095445002520",Действует,22.12.09,21.12.12,"НСО, г.Бердск, ул.Ленина, 9а",5445261302
,Е 003455,РА-0469м/10," ООО ""Мария"" ОГРН 1065445012050",Действует,15.08.10,14.08.12,"НСО, г.Бердск, ул.Линейная, 5/22",5445122637
,Е 002684,РА-1068/09," ООО ""Альта"" ОГРН1065445013413",Действует,28.09.09,27.09.12,"НСО, г.Бердск, ул.Маяковского, 195",5445123750
,Е 001256,РА-742/08," ООО ""Дюны"" ОГРН 1065445012313",Действует,11.12.08,10.12.11,"НСО, г.Бердск, ул.Морская, 10а",5445122884
,Е 001699,РА-287/09," ООО ""Сибирия"" ОГРН 1065445013105",Действует,10.04.09,09.04.12,"НСО, г.Бердск, ул.Морская, 18/2",5445123479
,Е 004089,РА-0236/11," ООО ""Фортуна"" ОГРН 1075445000586",Действует,02.05.11,01.05.14,"НСО, г.Бердск, ул.Новосибирская, 2",5445252393
,Е 004088,РА-0235/11," ООО ""Комплекс Новый"" ОГРН 1105445002321",Действует,29.04.11,28.04.12,"НСО, г.Бердск, ул.Новосибирская, 2",5445264381
,Е 002487,РА-0019/10," ООО фирма ""Золотой луч"" ОГРН 1025404723960",Действует,22.01.10,21.01.13,"НСО, г.Бердск, ул.Островского, 170",5405142563
,Е 001868,РА-449/09," ООО ""Торговая Династия""",Действует,22.05.09,21.05.12,"НСО, г.Бердск, ул.Островского, 69а",5445122115
,Е 003746,РА-0749м/10," ООО ""Мегаполис"" ОГРН 1095445001200",Действует,18.12.10,17.12.11,"НСО, г.Бердск, ул.Павлова, 6",5445259945
,Е 003824,РА-0825м/10," ООО ""ПродТорг 2"" ОГРН 1085445003687",Действует,01.01.11,31.12.11,"НСО, г.Бердск, ул.Первомайская, 10а",5445257923
,Е 003020,РА-0046/10," ООО ""Кронверк"" ОГРН 1025404723728",Действует,27.01.10,26.01.13,"НСО, г.Бердск, ул.Первомайская, 11",5445110342
,Е 001700,РА-288/09," ООО ""АС"" ОГРН 1075445000520",Действует,10.04.09,09.04.12,"НСО, г.Бердск, ул.Первомайская, 12",5445252322
,Е 002198,РА-752/09," ООО ""Роща"" ОГРН 1065445011719",Действует,30.06.09,29.06.12,"НСО, г.Бердск, ул.Первомайская, 3",5445122299
,Е 003864,РА-0020/11," ООО ""Бульвар"" ОГРН 1025442450670",Действует,28.01.11,27.01.12,"НСО, г.Бердск, ул.Первомайская, 5",5406241849
,Е 004252,РА-0395/11," ООО ""Лиана"" ОГРН 1025404725378",Действует,06.07.11,05.07.12,"НСО, г.Бердск, ул.Первомайская, 7а",5445006172
,Е 001649,РА-242/09," ООО ""ПродТорг"" ОГРН 1055445043026",Действует,01.04.09,31.03.12,"НСО, г.Бердск, ул.Попова, 32",5445121104
,Е 002835,РА-1210/09," ООО ""Кузьмич"" ОГРН 1025404724124",Действует,10.11.09,09.11.12,"НСО, г.Бердск, ул.Промышленная, 1а",5445106360
,Е 002360,РА-897/09," ООО ""Промзона"" ОГРН 1025404723640",Действует,26.07.09,25.07.12,"НСО, г.Бердск, ул.Рогачева, 10а",5445107484
,Е 002505,РА-903/09," ООО ""ЛАДА"" ОГРН 1085445004072",Действует,27.07.09,26.07.12,"НСО, г.Бердск, ул.Рогачева, 22а",5445258317
,Е 004304,РА-0445/11," ООО ""Водолей"" ОГРН 1025404724685",Действует,21.07.11,20.07.12,"НСО, г.Бердск, ул.Рогачева, 5а",5445105367
,Е 002602,РА-994/09," ООО ""Гартал"" ОГРН 1025404728656",Действует,26.08.09,25.08.12,"НСО, г.Бердск, ул.Свердлова, 57",5445111106
,Е 001707,РА-295/09," ООО ""Любимый сад"" ОГРН 1055445043994",Действует,11.04.09,10.04.12,"НСО, г.Бердск, ул.Суворова, 38",5445121217
,Е 001610,РА-205/09," ООО ""Автотурист"" ОГРН 1085461000657",Действует,23.03.09,22.03.12,"НСО, г.Болотное, Новосибирское шоссе, 3",5413112562
,Е 004212,РА-0356/11," ООО ""АЛИНА"" ОГРН 1065461008227",Действует,22.06.11,21.06.12,"НСО, г.Болотное, ул.Западная, 11а",5413112080
,Е 002679,РА-1063/09," ПО ""Болотнинский Кооппродторг"" ОГРН 1045405224260",Действует,24.09.09,23.09.12,"НСО, г.Болотное, ул.Комарова, 10",5413111128
,Е 001787,РА-370/09," ООО ""Весна плюс"" ОГРН 1065461014222",Действует,27.04.09,26.04.12,"НСО, г.Болотное, ул.Комарова, 10",5413112107
,Е 001776,РА-360/09," ООО ""Фортуна"" ОГРН 1065461014244",Действует,24.04.09,23.04.12,"НСО, г.Болотное, ул.Коммунистическая, 69",5413112114
,Е 002401,РА-1405/09," ООО ""Анита-Сиб"" ОГРН 1025405224789",Действует,27.12.09,26.12.11,"НСО, г.Болотное, ул.Маяковского, 15",5413107330
,Е 002853,РА-1229/09," ООО ""Гранд"" ОГРН 1065461018590",Действует,13.11.09,12.11.12,"НСО, г.Болотное, ул.Московская, 100",5413112259
,Е 001775,РА-359/09," ООО ""Гермес"" ОГРН 1065461014200",Действует,24.04.09,23.04.12,"НСО, г.Болотное, ул.Московская, 96в",5413112097
,Е 002488,РА-0020/10, ООО АЛЬБИНА ОГРН 1025405227484,Действует,26.01.10,25.01.13,"НСО, г.Болотное, ул.Пушкина, 33",5413107763
,Е 003752,РА-0755м/10," ООО ""Турчук М.И."" ОГРН 1075461001692",Действует,21.12.10,20.12.11,"НСО, г.Болотное, ул.Союзная, 51",5413112499
,Е 001492,РА-094/09," ООО ""Елена"" ОГРН 1055461019844",Действует,21.02.09,20.02.12,"НСО, г.Болотное, ул.Титова, 19",5413111921
,Е 003509,РА-0517м/10," ООО ""Мальборо"" ОГРН 1065472011648",Действует,11.09.10,10.09.12,"НСО, г.Искитим, микрорайон Индустриальный, 11б",5446006489
,Е 002516,РА-918/09," ООО ""Вояж"" ОГРН 1065472008579",Действует,29.07.09,28.07.12,"НСО, г.Искитим, микрорайон Индустриальный, 25",5446006249
,Е 004182,РА-0326/11," ООО ""Алякова"" ОГРН 1115483001083",Действует,10.06.11,09.06.12,"НСО, г.Искитим, микрорайон Индустриальный, 31, кв.68",5446013091
,Е 002238,РА-790/09," ООО ""Престиж"" ОГРН 1065472008557",Действует,30.06.09,29.06.12,"НСО, г.Искитим, микрорайон Индустриальный, 42",5446006224
,Е 003150,РА-0174/10," МУП ""Экспресс"" ОГРН 1045403639445",Действует,08.04.10,07.04.13,"НСО, г.Искитим, микрорайон Индустриальный, 42б",5446222063
,Е 001904,РА-480/09," ООО ""Надежда"" ОГРН 1065472007061",Действует,29.05.09,28.05.12,"НСО, г.Искитим, микрорайон Подгорный, 8",5446006009
,Е 004298,РА-0439/11," ООО ""Салаир"" ОГРН 1065472008348",Действует,20.07.11,19.07.13,"НСО, г.Искитим, микрорайон Южный, (11)",5446006070
,Е 002925,РА-1297/09," ООО ""Березка"" ОГРН 1065472011890",Действует,01.12.09,30.11.12,"НСО, г.Искитим, микрорайон Южный, 1, кв.30",5446006552
,Е 004357,РА-0484/11," ОАО ""НЗИВ"" ОГРН 1115483001567",Действует,01.09.11,31.08.14,"НСО, г.Искитим, микрорайон Южный, 101 Аэп: nziv@ngs.ru",5446013327
,Е 004508,РА-0552/11," ООО ""Алена"" ОГРН 1025404789090",Действует,27.11.11,26.11.13,"НСО, г.Искитим, микрорайон Южный, 1в.   Аэп: Lidij-p@yandex.ru",5446107590
,Е 002149,РА-711/09," ООО ""Эверест-Трейд"" ОГРН 1065472008690",Действует,30.06.09,29.06.12,"НСО, г.Искитим, микрорайон Южный, 68",5446006305
,Е 001941,РА-515/09," ООО ""Южный"" ОГРН 1055472023188",Действует,05.06.09,04.06.12,"НСО, г.Искитим, микрорайон Южный, 7",5446005598
,Е 003993,РА-0142/11," ООО ТД ""Объединенные хлебозаводы"" ОГРН 1045403638763",Действует,31.03.11,30.03.12,"НСО, г.Искитим, пр.Юбилейный, 5а",5446221736
,Е 003873,РА-0029/11," ООО ""Береговое"" ОГРН 1085472002626",Действует,04.02.11,03.02.14,"НСО, г.Искитим, ул.Береговая, 45",5446009803
,Е 001617,РА-212/09," ООО ""магазин Ереван"" ОГРН 1025404790993",Действует,27.03.09,26.03.12,"НСО, г.Искитим, ул.Гоголя, 18",5446102601
,Е 002256,РА-805/09," ООО ""АВТОФУД"" ОГРН 1065472007820",Действует,02.07.09,01.07.12,"НСО, г.Искитим, ул.Заводская, 1а",5446006030
,Е 004004,РА-0153/11," ООО ""Легенда"" ОГРН 1105472000061",Действует,04.04.11,03.04.12,"НСО, г.Искитим, ул.К.Маркса, 51",5446011577
,Е 003960,РА-0113/11," ООО ""Карьер"" ОГРН 1025404791114",Действует,18.03.11,17.03.12,"НСО, г.Искитим, ул.Карьер Цемзавода, 9",5446111860
,Е 002138,РА-700/09," ООО ""АЛКОМАКС"" ОГРН 1065472008909",Действует,30.06.09,29.06.12,"НСО, г.Искитим, ул.Киевская, 11",5446006390
,Е 001463,РА-069/09," ООО ""Чайка"" ОГРН 1085472003044",Действует,10.02.09,09.02.12,"НСО, г.Искитим, ул.Коммунистическая, 43",5446010125
,Е 002815,РА-1192/09," ООО ""Татьяна"" ОГРН 1065472005301",Действует,03.11.09,02.11.12,"НСО, г.Искитим, ул.Комсомольская, 24",5446005823
,Е 002915,РА-1288/09," ООО ""Север"" ОГРН 1025404790608",Действует,30.11.09,29.11.12,"НСО, г.Искитим, ул.Комсомольская, 40",5446111571
,Е 001658,РА-250/09, Искитимское ПООП ОГРН 1035404788440,Действует,03.04.09,02.04.12,"НСО, г.Искитим, ул.Коротеева, 20",5446112818
,Е 004177,РА-0321/11," Искитимское ПО ""Кооператор"" ОГРН 1035404790442",Действует,10.06.11,09.06.12,"НСО, г.Искитим, ул.Коротеева, 20",5446221662
,Е 003678,РА-0681м/10," ООО ""Монолит"" ОГРН 1025404791191",Действует,22.11.10,21.11.13,"НСО, г.Искитим, ул.Литейная,1б/1",5446107945
,Е 002039,РА-608/09," ООО ""ДИАС"" ОГРН  1065472008447",Действует,30.06.09,29.06.12,"НСО, г.Искитим, ул.Молдавская, 46",5446006143
,Е 004283,РА-0425/11," ООО ""Старт"" ОГРН 1085472000932",Действует,14.07.11,13.07.12,"НСО, г.Искитим, ул.Нагорная, 10",5446008969
,Е 002018,РА-587/09," ООО ""СОФИЯ"" ОГРН 1065472008678",Действует,30.06.09,29.06.12,"НСО, г.Искитим, ул.Прорабская, 1а",5446006288
,Е 004262,РА-0405/11," ООО ""Околица"" ОГРН 1055472017380",Действует,06.07.11,05.07.12,"НСО, г.Искитим, ул.Прорабская, 5",5446005164
,Е 003196,РА-0220/10," ООО ""Цемент-Гарант"" ОГРН 1025404672864",Действует,27.04.10,26.04.12,"НСО, г.Искитим, ул.Пушкина, 39, офис 102",5443115507
,Е 003012,РА-0043/10," ООО ""Кубань"" ОГРН 1025404791631",Действует,25.01.10,24.01.13,"НСО, г.Искитим, ул.Пушкина, 81а",5446111772
,Е 003037,РА-0066/10," ООО ""ПАТП-ТД"" ОГРН 1045403641447",Действует,31.01.10,30.01.13,"НСО, г.Искитим, ул.Пушкина, 81а",5446222419
,Е 003903,РА-0058/11," ООО ""Квадра"" ОГРН 1025404790696",Действует,21.02.11,20.02.14,"НСО, г.Искитим, ул.Пушкина, 91",5446107631
,Е 003974,РА-0124/11," ООО ""Милана"" ОГРН 1095472002130",Действует,25.03.11,24.03.12,"НСО, г.Искитим, ул.Семипалатинская, 40, кв.43",5446011376
,004185,РА-0329/11," ООО ""Де Люкс"" ОГРН 1115483000973",Действует,14.06.11,13.06.12,"НСО, г.Искитим, ул.Семипалатинская, 6",5446013006
,Е 002960,РА-1329/09," ООО ""Андреевский"" ОГРН 1055472017787",Действует,14.12.09,13.12.12,"НСО, г.Искитим, ул.Советская, 153",5446005213
,Е 001744,РА-326/09," ООО ""Сибирь"" ОГРН 1055472022792",Действует,20.04.09,19.04.12,"НСО, г.Искитим, ул.Советская, 204а",5443000753
,Е 003417,РА-0432м/10," ООО ""ОЛИМП"" ОГРН 1065472008612",Действует,02.08.10,01.08.13,"НСО, г.Искитим, ул.Советская, 213",5446006263
,Е 002571,РА-965/09," ООО ""Ласточка"" ОГРН 1065472005290",Действует,16.08.09,15.08.12,"НСО, г.Искитим, ул.Советская, 223",5446005830
,Е 004486,РА-0537/11," ООО ""Успех"" ОГРН 1115483000984",Действует,17.11.11,16.11.12,"НСО, г.Искитим, ул.Советская, 239  Аэп: anastasia-1978@mail.ru",5446013013
