Реестр действующих лицензий на розничную продажу алкогольной продукции на 01.09.2012 года,,,,,,,,,,,,,,,,,,
№п/п,Наименование организациии,ИНН,КПП,Адрес юридический,Адрес осуществления вида деятельности,Код субъекта РФ,Регистрационный номер лицензии,Серия лицензии,Номер лицензии,"Дата выдачи (месяц, число, год)","Дата окончания действия (месяц, число, год)","Дата приостановления действия (месяц, число, год)","Дата возобновления действия (месяц, число, год)","Дата прекращения действия (месяц, число, год)","Дата аннулирования (месяц, число, год)",Руководитель организации,Контактный телефон,"Муниципальный орган, выдавший лицензию"
167,"ООО ""Барангол""                                ",408016014,40801001,"РА Майминский район, с.Барангол, ул.Чуйская,10","РА Майминский район с. Барангол, ул. Чуйская 10",,128,Г,886,07.13.2011,12/7/2016,,,,,Муштаева А.А.,89139990392,"МО ""Майминский район"""
168,"ООО ""Производственно-торговая фирма ""Айрон""",2204021806,220401001,"Алтайский край, г.Бийск, ул.Социалистическая,1","РА  Майминский район с. Соузга, ул. Трактовая 44",,162,Г,156,6/12/2006,5/12/2012,,,,,Селиванова Л.И.,83854304455,"МО ""Майминский район"""
169,"ООО ""Шанс""                         ",408016053,40801001,"РА Майминский район, с.Манжерок, ул.Дружбы,30","РА Майминский район с. Манжерок, ул. Дружбы 30",,132,В,69,06.27.2006,06.26.2012,,,06.26.2012,,Брэде С.Ю.,8(38844) 28447,"МО ""Майминский район"""
170,"ООО ""Статус""                                  ",408015691,40801001,"РА Майминский район, с.Майма, ул.Ленина","РА Майминский район с. Майма, р-н ДЭП-217",,137,В,76,06.29.2006,06.28.2012,,,06.28.2012,,Хоничева Н.Н.,89069390123,"МО ""Майминский район"""
171,"ООО ""Щедрая рука""                                    ",408016134,40801001,"РА Майминский район, с.Барангол, ул.Чуйская,7","РА Майминский район с. Барангол, ул. Чуйская 7",,138,ГА,431,06.28.2012,06.28.2013,,,,,Савостикова Е.И.,8(38844)28803,"МО ""Майминский район"""
172,"ООО ""Идеал""",408010710,40801001,"РА Майминский район, с.Майма, ул.Ленина,10","РА Майминский район с. Майма, ул. Ленина 10А; г. Горно-Алтайск, пр. Коммунистический 16",,142,ГА,434,12/7/2012,11/7/2013,,,,,Польянова Н.П.,89139998382,"МО ""Майминский район"""
173,"ООО ""На Шумах""",408015998,40801001,"РА Майминский район, с.Соузга,ул.Центральная,53","РА Майминский район с. Соузга, ул. Центральная 53",,148,ГА,432,07.14.2012,07.13.2013,,,,,Лашутин Д.Н.,8(38844)27795,"МО ""Майминский район"""
174,"ООО ""Альтернатива""",408014867,40801001,"РА Майминский район, с.Майма, ул.Советская, 183","РА Майминский район с. Майма, ул. Советская 183, с. Карлушка, ул. Трактовая 15",,150,Г,219,07.17.2006,07.16.2012,,,,,Чеконова З.С.,8(38844)22206,"МО ""Майминский район"""
175,"ООО ""Березка""",408003865,40801001,"РА Майминский район, с.Майма, ул.Ленина,88","РА Майминский район с.Майма: ул. Ленина 88, ул. Ленина 87",,152,Г,888,07.20.2011,07.18.2012,,,07.18.2012,,Гребенщекова Н.А.,8(38844)23004,"МО ""Майминский район"""
176,"ООО ""Байлык""                         ",408016430,40801001,"РА Майминский район, с.Бирюля, ул.Центральная,27","РА Майминский район с. Бирюля, ул. Центральная27",,156,Г,147,08.15.2006,08.14.2012,,,08.14.2012,,Немзорова Н.М.,8(38844)29747,"МО ""Майминский район"""
177,"ООО ""Березка""                     ",2287005717,41101001,"РА Майминский район, с.Соузга, ул.Трактовая27/2","РА Майминский район с. Соузга, ул. Трактовая 27/2",,159,Г,893,6/10/2006,5/10/2012,,,,,Федотова В.В.,8(38844)23004,"МО ""Майминский район"""
178,"ООО ""Гурман""                          ",408016102,40801001,"РА Майминский район, с.Майма, ул.Нагорная,26","РА г. Горно-Алтайск, пр. Коммунистический 139",,153,Г,153,6/10/2006,5/10/2012,,,,,Костиков Д.В.,89136975741,"МО ""Майминский район"""
179,"ООО ""Юность""",408010140,40801001,"РА Майминский район, с.Соузга, т/б Юность","РА Майминский район с. Соузга т/б ""Юность""",,172,Г,168,06.26.2007,06.25.2012,,,06.25.2012,,Кыдатова И.В.,8(38844)27803,"МО ""Майминский район"""
180,"ООО ""Ай-Пек""",411129321,40801001,"РА Майминский район, ул.Алтайская,14",РА Майминский район с. Майма ул. Алтайская 14,,173,Г,171,2/10/2007,1/10/2012,,,,,Артушева Л.Н.,8(38844)24507,"МО ""Майминский район"""
181,"ООО ""Ренессанс""",408016945,41101001,"РА г.Горно-Алтайск, ул.Поселковая,1","РА г.Горно-Алтайск, ул.Поселковая,1",,175,Г,174,10.26.2007,10.25.2012,,,,,Фоменко Н.А.,8(38822)64075,"МО ""Майминский район"""
182,"ГУФУАД ""Горно-Алтайавтодор""",400000069,41101001,"РА Майминский район, с.Соузга т/б «Киви-Лодж»","РА Майминский район, с.Соузга т/б «Киви-Лодж»",,178,Г,180,6/12/2007,5/12/2012,,,,,Нечаев А.С.,8(38822)62170,"МО ""Майминский район"""
183,"ООО ""ЭЛВИК""",411134900,41101001,"РА Майминский район, с.Черемшанка, ул.Дорожная 25/2",РА Майминский район с.Черемшанка ул. Дорожная 25/2,,179,Г,184,12.27.2007,12.26.2012,,,,,Калашникова Л.В.,89631991427,"МО ""Майминский район"""
184,"ООО ""Царская охота""",408005830,40801001,"РА Майминский район, с.Барангол, ул.Чуйская,2","РА Майминский район с.Барангол, ул. Чуйская 2",,181,Г,186,04.24.2008,04.23.2013,,,,,Сажаева Т.И.,8(38844)28810,"МО ""Майминский район"""
185,РПО «Горно - Алтайская торговая база»,408005862,40801001,"РА  Майминский район, с.Майма, ул.Энергетиков,9","РА  Майминский район, с.Майма, ул.Энергетиков,9",,185,Г,190,07.18.2008,07.17.2013,,,,,,8(38822)22185,"МО ""Майминский район"""
186,"ОАО ""Горно - Алтайский Агроснаб""",408001096,40801001,"РА Майминский район, с.Майма, ул.Нагорная,29","Майминский район с. Майма, ул. Нагорная 29; Усть-Канский район, с.Усть-Кан, ул. Ленинская 1а;",,186,Г,194,8/7/2011,08.17.2013,,,,,Бедеев А.В.,8(38844)22374,"МО ""Майминский район"""
,,,,,"Усть-Коксинский район с.Усть-Кокса, ул.Юшкина 1 б",,,,,,,,,,,,,
187,"ООО ""Аржан Суу""",408000712,40801001,"РА Майминский район, с.Манжерок, р-он источника «Аржан-Суу»","РА Майминский район, с. Манжерок, Чуйский тракт, кафе ""Аржан-Суу""",,187,Г,200,10.13.2008,12/10/2013,,,,,Матыцина К.И.,83884428419,"МО ""Майминский район"""
188,"ООО ""Водолей""                                   ",411139633,40801001,"РА Майминский район, с.Кызыл-Озек, ул.Советская,86А","РА Майминский район с.Кызыл-Озек, ул.Советская 86А",,188,Г,199,10.13.2008,12/10/2013,,,,,Сухих Е.А.,89039191435,"МО ""Майминский район"""
189,Майминское Райпо,408001515,40801001,"РА  Майминский район, с.Майма, ул.Ленина 67/1","Майминский район с. Майма: ул. Ленина 67а; ул. Ленина 5а; ул. Ленина 3а; ул. Подгорная 111; с. Дубровка, ул. Трактовая 2.",,190,Г,203,12.15.2008,12.14.2013,,,,,Кыкманова Л.А.,8(38844)21682,"МО ""Майминский район"""
190,"ООО ""Аникс ЛТД""",411030393,40801001,"РА Майминский район, с.Майма, ул.Энергетиков,9","РА Майминский район с. Майма, ул. Энергетиков 9",,191,Г,204,12.24.2008,12.23.2013,,,,,Хвощевская С.П.,8(38822) 63110,"МО ""Майминский район"""
191,"ООО ""НСБ""",411137731,40801001,"РА Майминский район, с.Барангол, ул.Чуйская,8","РА г.Горно-Алтайск, пр. Коммунистический 55/2",,195,Г,213,10/6/2009,9/6/2014,,,,,Башуров Н.С.,89139983737,"МО ""Майминский район"""
192,"ООО ""Огонек""",411144016,40801001,"РА Майминский район, с.Манжерок, ул.Пионерская,21","РА Майминский район с. Манжерок, ул.Пионерская 21",,196,Г,214,06.16.2009,06.15.2014,,,,,Шибанова И.В.,8(38844)28405,"МО ""Майминский район"""
193,ООО «Маяк»,411145997,40801001,"РА Майминский район, с.Майма, ул.Заводская,157","РА Майминский район с. Майма, ул. Заводская 157",,197,Г,218,08.27.2009,08.26.2014,,,,,Балакина О.М.,89039197025,"МО ""Майминский район"""
194,ООО «Имерети»,411146119,40801001,"РА Майминский район, с.Майма, ул.Энергетиков,9","РА Майминский район с.Черга, ул. Октябрьская 133А",,198,Г,220,10.26.2009,10.25.2014,,,,,Панчулидзе Т.А.,8(38844)25120,"МО ""Майминский район"""
195,ООО «Оверкиль»,408009070,40801001,"РА Майминский район, с.Манжерок, 469-й км. Чуйского тракта     ","РА Майминский район с. Манжерок, 469 км Чуйского тракта",,199,Г,222,10/12/2009,9/12/2014,,,,,Князева Н.Г.,83884428399,"МО ""Майминский район"""
196,ООО «Максимум»,411146895,40801001,"РА Майминский район, с.Усть-Муны, ул.Кашурникова,8","РА Майминский район с.Усть-Муны, ул.Кашурникова 8, ул.Катунская 15А",,200,Г,223,12.22.2009,12.21.2014,,,,,Стрекалов Д.В.,89139992816,"МО ""Майминский район"""
197,ООО «Заря»,408001804,40801001,"РА Майминский район, с.Майма, ул.Подгорная,37","РА Майминский район с. Майма, ул. Подгорная 37",,201,Г,227,04.30.2010,04.29.2015,,,,,Проваторов А.А.,8(38844)22901,"МО ""Майминский район"""
198,ООО «Алько-Трейд»,411149286,40801001,"РА Майминский район, с.Средний Сайдыс, ул.Центральная,15","РА Майминский район с. Средний-Сайдыс, ул. Центральная 15;  с. К-Озек, ул. Советская 82",,202,Г,829,10.27.2010,5/5/2015,,,,,Чунжекова А.В.,89139911807,"МО ""Майминский район"""
200,ООО «Абсолют»,411148490,41101001,"РА Майминский район, с.Майма, ул.Ленина,60","Майминский район с. Майма: ул. Папарде 34/2; ул. Алтайская 27 б; ул. Юбилейная б/н м-н ""Мечта""; с.Кызыл-Озек",,203,Г,891,08.17.2011,05.23.2015,,,,,Володин В.С.,8(38844)26900,"МО ""Майминский район"""
,,,,,"ул. Советская 142;Чемальский район с.Анос, ул. Центральная 22/1; Турочакский район с. Турочак, ул. Телецкая 9 ",,,,,,,,,,,,,
201,Обособленное подразделение ООО «Рубин»,2224134533,220401001,"РА Майминский район, с.Майма, ул.Ленина, 67А","РА Майминский район, с.Майма, ул.Ленина, 67А",,204,Г,230,06.18.2010,06.17.2015,,,,,,,"МО ""Майминский район"""
202,ООО «Деловой центр Кузбасс»,408007490,40801001,"РА  Майминский район, с.Майма, ул.Ленина,129","РА Майминский район с. Майма, ул. Ленина 129",,205,Г,825,9/8/2010,8/8/2015,,,,,Пикулев Е.Г.,8(38844)21673,"МО ""Майминский район"""
203,"ООО ""Гортензия""",408016913,40801001,"РА Майминский район, с.Озерное, ул.Центральная,9","РА Майминский район с.Озерное, ул. Центральная 9",,163,Г,157,8/12/2006,7/12/2012,,,,,Козлов Ю.П.,8(38844)28543,"МО ""Майминский район"""
204,"ООО ""Пристань""",408006915,40801001,"РА Майминский район, с.Майма, ул.Ленина,62",РА Майминский район с. Майма: ул. Ленина 62;ул. Ленина 67А,,206,Г,842,05.26.2011,2/12/2015,,,,,Аракелян А.Н.,8(38844)22667,"МО ""Майминский район"""
205,ООО «Барс плюс»,411140318,40801001,"РА Майминский район, с.Усть-Муны, 490км.Чуйского тракта","РА Майминский район с. Усть-Муны, 490 км Чуйского тракта, т/б ""Орлинное гнездо""",,208,Г,837,03.21.2011,03.20.2016 ,,,,,Бритикова О.В.,89039927929,"МО ""Майминский район"""
206,ООО «Алтай Резорт»,7705572377,40801001,"РА Майминский район, с.Урлу-Аспак ГК «Алтай-Резорт»","РА Майминский район с. Урлу-Аспак, гост. Комплекс ""Алтай Резорт""",,209,Г,839,6/5/2011,5/5/2012,,,,,Буеклы Д.А.,8(38844)29748,"МО ""Майминский район"""
207,ООО «Т\Д Империал»,411154871,41101001,"РА Майминский район, с.Майма, ул.Энергетиков,9","РА Майминский район с. Майма, ул. Энергетиков 9 литер А, помещение №33",,210,Г,844,06.21.2011,06.20.2012,,,06.20.2012,,Тетцоев В.К.,8(38822)62600,"МО ""Майминский район"""
208,ООО «Лесотель»,411155716,41101001,"РА Майминский район, с.Соузга ТК «Лесотель»","РА Майминский район с. Соузга, т/к ""Лесотель""",,211,Г,887,07.20.2011 ,07.19.2013 ,,,,,Лебедко Т.М.,89139935556,"МО ""Майминский район"""
209,"ООО ""Гермес""",411159710,41101001,"РА Майминский район, с.Майма, ул.Энергетиков,9","РА Майминский район, с.Майма, ул.Энергетиков,9",,214,ГА,435,07.17.2012,07.16.2013,,,,,Остробородов С.А.,8(38822)41165,"МО ""Майминский район"""
210,"ООО ""АПД""",2204046631,220401001,"Алтайский край, г.Бийск, ул.Васильева, 74/5","РА Майминский район, с.Соузга, ул.Трактовая 37/2",,213,ГА,433,7/5/2012,4/7/2013,,,,,Ермакова Е.В.,8(3854)449142,"МО ""Майминский район"""
211,ООО «Феникс»,411155850,40801001,"РА Майминский район, с.Манжерок, ул.Дружбы,32","РА Майминский район с. Манжерок, ул. Дружбы 32",,212,Г,890,5/8/2011,4/8/2012,,,4/8/2012,,Горохов Ю.С.,,"МО ""Майминский район"""
212,ООО «Сибирячка»,411125790,41101001,"РА г.Горно-Алтайск, ул.Ленина,228","РА г.Горно-Алтайск: пр. Коммунистический, 86;ул. Ленина-228",,125-то,В,286,1/7/2011,1/7/2012,,,1/7/2012,,Сафронова Г.С.,8(38822)21516,"МО ""Город Горно-Алтайск"""
213,ООО «Вершина»,411126810,41101001,"РА г.Горно-Алтайск, ул.Заречная,63","РА г.Горно-Алтайск, ул Заречная-63",,309-то,ГА,82,07.20.2012,07.20.2013,,,,,Выползова Н.В.,8(38822)41601,"МО ""Город Горно-Алтайск"""
214,ООО « Зайтуна»,411000624,41101001,"РА г.Горно-Алтайск, пр.Коммунистический, 53/1","РА г.Горно-Алтайск, пр. Коммунистический 53/1",,289-то,ГА,61,02.20.2012,02.20.2013,,,,,Садыров А.,8(38822)26493,"МО ""Город Горно-Алтайск"""
215,ООО «Дизель»,411149381,41101001,"РА г.Горно-Алтайск, ул.п.Сухова,2","РА г.Горно-Алтайск, ул.п.Сухова,2",,287-то,ГА,59,6/2/2012,6/2/2013,,,,,Терентьев О.Б.,89139934022,"МО ""Город Горно-Алтайск"""
216,ООО «Ани»      ,411156727,41101001,"РА г.Горно-Алтайск, ул.Социалистическая,17","РА г.Горно-Алтайск, ул. Ленина,55",,278-то,Г,894,1/11/2011,1/11/2012,,,,,Худавердян А.А.,89631993829,"МО ""Город Горно-Алтайск"""
217,ООО «Удача»,411124450,41101001,"РА г.Горно-Алтайск, пр.Коммунистический,23","РА г.Горно-Алтайск: пр. Коммунистический,23;ул. Ленина,88",,237-то,Г,757,01.14.2011,01.19.2016,,,,,Ефимова Т.В.,8(38822)27869,"МО ""Город Горно-Алтайск"""
218,ООО «Розница-1»,2225067449,222101001,"РА г.Барнаул, ул.Мерзликина,5","г.Горно-Алтайск: пр.Коммунистический,109; пр.Коммуннистический 11; пр. Коммунистический, 76;Онгудайский район",,303-то,ГА,76,06.28.2012,10.23.2016,,,,,Дьяков Д.В.,8(38822)63001,"МО ""Город Горно-Алтайск"""
,,,,,"с.Онгудай, ул.Советская,87, Майминский район, с.Манжерок, ул.Совхозная,1",,,,,,,,,,,,,
219,ООО «Галант»,411020726,41101001,"РА г.Горно-Алтайск, ул.Чорос-Гуркина,27","РА г.Горно-Алтайск: пр.Коммунистический,16",,244-то,Г,766,1/4/2011,10/11/2013,,,,,Мегрелидзе А.А.,8(38822)22268,"МО ""Город Горно-Алтайск"""
220,ООО «Бис»,411124757,41101001,"РА г.Горно-Алтайск, пр.Коммунистический, 28/1","РА г.Горно-Алтайск: пр.Коммунистический,28/1, пр.Коммунистический,39",,135-то,Г,36,3/8/2011,3/8/2012,,,3/8/2012,,Кудачинова З.М.,89139991748,"МО ""Город Горно-Алтайск"""
221,ООО «Ивушка»,411005245,41101001,"РА г.Горно-Алтайск, ул.Э.Палкина 2/2","РА г.Горно-Алтайск: ул.Э.Палкина 2/2; ул.Чаптынова,34",,200-то,Г,123,08.27.2009,08.29.2013,,,,,Андросян Г.Е.,8(38822)26878,"МО ""Город Горно-Алтайск"""
222,ООО «Дионис»,411122414,41145001,"РА г.Горно-Алтайск, ул.Ленина,199","РА г.Горно-Алтайск, пр.Коммунистический,149;ул. Смородиновая,4;ул. Барнаульская,209;ул. Шелковичная,112;ул.Э.Палкина,2/2;",,320-то,ГА,94,08.30.2012,7/6/2013,,,,,Иванов Г.К.,8(38822)44153,"МО ""Город Горно-Алтайск"""
,,,,,"пер. Гранитный,5; ул.Шоссейная,30/1; ул.Алтайская,12А; с.Кызыл-Озек ул.Советская, 77; ул.Советская, 21;",,,,,,,,,,,,,
,,,,,"с. Майма,ул. Зональная, 13;ул. Мира,11А;ул. Подгорная,44;ул. Подгорная,43;Жилмассив «Алгаир»,86/2;",,,,,,,,,,,,,
,,,,,"ул. Гидростроителей, б/н;с.Бирюля, ул.Центральная,26;с. Рыбалка,ул. Дачная,1А; с.Каракокша, ул. Строителей,13 А;",,,,,,,,,,,,,
,,,,,"с.Чоя, ул.Ленина,31;ул. Красноармейская, 20; ул.Ленина,19А;с. Сейка, ул. Октябрьская,8;с.Ускуч, ул. Центральная,1А; Турочакский район с.Турочак,ул.Советская,1",,,,,,,,,,,,,
,,,,,"с. Кебезень, ул. Центральная, 15Г;с. Шебалино,ул. Советская, 80А/15; 206;ул.Партизанская,49;с.Барагаш ул.Калинина,6;с.Онгудай, ул. Советская,125; с.Белый Ануй,",,,,,,,,,,,,,
,,,,,"ул. Советская, 49; Чемальский район, с. Чемал, ул. Торговый ряд,2/3;1/8; ул.Пчелкина,72;с.Чепош ул.Трактовая, 12А;с.Элекмонар ул.Алтайская,12;ул.Советская,145А;",,,,,,,,,,,,,
,,,,,"с.Ороктой,ул.Центральная,15;с.Бешпельтир, ул.Центральная б/н",,,,,,,,,,,,,
223,ООО «Миг-Сервис»,411066819,41101001,"РА г.Горно-Алтайск, пр.Коммунистический,190","РА г.Горно-Алтайск:пр.Коммунистический,97;ул. Ленина,220; пр.Коммунистический,188",,296-то,ГА,69,2/6/2012,2/6/2013,,,,,Воробьев И.А.,8(38822)62013,"МО ""Город Горно-Алтайск"""
224,ООО «Татьяна»,411126070,41101001,"РА г.Горно-Алтайск, ул.Ленина,199","РА г.Горно-Алтайск: ул. Ленина, 199",,310-то,ГА,83,07.13.2012,07.13.2013,,,,,Арыкова Т.В.,8(38822)27526,"МО ""Город Горно-Алтайск"""
225,ООО «Полюс плюс»,411124852,41101001,"РА г.Горно-Алтайск, ул.Колхозная, 52",РА г.Горно-Алтайск: ул. Колхозная-52,,130-то,В,291,1/7/2011,1/7/2012,,,1/7/2012,,Пушкарева Л.Е.,8(38822)66922,"МО ""Город Горно-Алтайск"""
226,ООО «Рандеву»,411031566,41101001,"РА г.Горно-Алтайск, ул.Социалистическая,50","РА г.Горно-Алтайск: ул. Социалистическая,50",,164-то,Г,73,12/12/2007,12/12/2012,,,,,Волощенко И.Н.,8(38822)22280,"МО ""Город Горно-Алтайск"""
227,ООО Торговая компания  «Смайл»,411017642,41101001,"РА г.Горно-Алтайск, пр.Коммунистический,55/4",РА г.Горно-Алтайск: ул.Чорос-Гуркина 56/1,,201-то,Г,124,9/9/2009,06.15.2013,,,,,Щербинина О.В.,8(38822)23773,"МО ""Город Горно-Алтайск"""
228,ООО «Глория»,411126200,41101001,"РА г.Горно-Алтайск, пр.Коммунистический, 53","РА г.Горно-Алтайск: ул.Ленина, 150;пр.Коммунистический,95/3 ул. П.Кучияк,103; ул.П.Кучияк (район жилого дома №127)",,306-то,ГА,79,1/7/2012,1/7/2013,,,,,Мухечева Н.В.,8(38822)22512,"МО ""Город Горно-Алтайск"""
229,Некоммерческое городское потребительское общество (Гор ПО),411124210,41101001,"РА г.Горно-Алтайск, пр.Коммунистический,6","г.Горно-Алтайск: пр. Коммунистический,3; пр. Коммунистический,6; ул. Ленина-224;ул. Барнаульская,72;",,308-то,ГА,81,11/7/2012,06.15.2016,,,,,Курская А.Н.,8(38822)24525,"МО ""Город Горно-Алтайск"""
,,,,,"пр. Коммунистический,14; ул.Чаптынова,17",,,,,,,,,,,,,
230,ОАО совхоз- завод «Подгорный»,400000037,41101001,"РА г.Горно-Алтайск, ул.П.Сухова,2","РА г.Горно-Алтайск: ул. Ч.Гуркина,32;ул. Заводская, 11; пр. Коммунист, 164;Майминский район, с.Майма, ул. Советская,65",,209-то,Г,726,11.27.2011,11.27.2012,,,,,Бухарин С.В.,8(38822)26510,"МО ""Город Горно-Алтайск"""
231,ООО «ПОДГОРНЫЙ 1»,411140004,41101001,"РА г.Горно-Алтайск, ул.П.Сухова,2","г.Горно-Алтайск: ул.Титова,16;ул. Кучияк,105;ул. П.Сухова,4;ул.Ленина,187;пр.Коммунистический,57;пр.",,208-то,Г,725,9/12/2009,1/11/2013,,,,,Бухарин С.В.,8(38822)26510,"МО ""Город Горно-Алтайск"""
,,,,,"Коммунистический,99;пр.Коммунистический, 155;ул. Ленина,43;Майминский район, с. .Майма, ул.Алтайская,2",,,,,,,,,,,,,
232,ООО «Янторг»,411126786,41101001,"РА г.Горно-Алтайск, ул.Чорос-Гуркина, 11/3","РА г.Горно-Алтайск:ул.П-Кучияк, у дома № 5;ул Ч-Гуркина, 11/3;ул.Ленкина, у дома №10;Майминский район,с.Майма,",,307-то,ГА,731,10/7/2012,10/7/2013,,,,,Якименко Н.Н.,8(38822)66432,"МО ""Город Горно-Алтайск"""
,,,,,"ул.Березовая роща, 11А",,,,,,,,,,,,,
233,ООО «Торговый Дом Чедирген»,411131056,41101001,"РА г.Горно-Алтайск, пр.Коммунистический, 12","РА г.Горно-Алтайск: пр.Коммунистический, 12",,288-то,ГА,60,02.14.2012,02.14.2016,,,,,Пешперова Л.Н.,8(38822)22594,"МО ""Город Горно-Алтайск"""
234,ООО «Валентина»,411126779,41101001,"РА г.Горно-Алтайск, ул.П.Сухова,42","РА г.Горно-Алтайск : ул.П.Сухова,42; ул. Рабочая,6 пр.Коммунистический,187;  ул. Ленинградская, 47;ул.Чапаева,152;ул.Колхозная,178          ",,319-то,ГА,93,08.27.2012,08.18.2013,,,,,Комарова Н.Я.,8(38822)63803,"МО ""Город Горно-Алтайск"""
235,ООО «Торговая сеть Аникс »,2204039458,220401001,"Алтайский край г.Бийск, ул.Социалистическая, 5/1","г.Горно-Алтайск:  ул. Ленина, 39; ул. Ленина, 201; ул. Чорос-Гуркина,39/1А; пр.Коммунистический,49; 53;                         ",,316-то,ГА,90,08.17.2012,07.29.2014,,,,,Мордовин А.Г.,89069408240,"МО ""Город Горно-Алтайск"""
,,,,,"пр. Коммунистический,164; ул.Чорос-Гуркина,4; с.Майма, ул. Энергетиков,2;с.Турочак, ул.Советская,55 ;                  ",,,,,,,,,,,,,
236,ООО «Смак»,411124845,41101001,"РА г.Горно-Алтайск, ул.Э.Палкина, 2/1","РА г.Горно-Алтайск:  пр. Коммунистический,31",,298-то,ГА,71,06.20.2012,06.20.2013,,,,,Парфенов А.В.,8(38822)26971,"МО ""Город Горно-Алтайск"""
237,ООО ПТП  «Цвет»,411001829,41101001,"РА г.Горно-Алтайск, ул.Чорос-Гуркина,32"," РА г.Горно-Алтайск:пр..Коммунистический,101;ул. Ч.Гуркина, 32",,300-то,ГА,73,1/7/2012,1/7/2013,,,,,Даниленко К.Н.,8(38822)64162,"МО ""Город Горно-Алтайск"""
238,ООО «Санэдэм»,411002734,41101001,"РА г.Горно-Алтайск, ул.Красногвардейская, 28/2","РА г.Горно-Алтайск: ул. Барнаульская,8;ул. Красногвардейская, 28/2",,259-то,Г,859,1/7/2011,1/7/2016,,,,,Санькова В.В.,8(38822)23933,"МО ""Город Горно-Алтайск"""
239,ООО «Алвест»,411087110,41101001,"РА г.Горно-Алтайск, пр.Коммунистический, 49","РА г.Горно-Алтайск:  пр. Коммунистический, 49",,297-то,ГА,70,06.20.2012,06.20.2013,,,,,Казанцев А.М.,8(38822)25599,"МО ""Город Горно-Алтайск"""
240,ООО «Сезам»,411124771,41101001,"РА г.Горно-Алтайск, пр.Коммунистический, 180","РА г.Горно-Алтайск:  пр.Коммунистический,180; ул.Комсомольская,6;с.Чемал, ул.Торговый ряд,10",,243-то,Г,765,03.17.2011,08.18.2012,,,08.18.2012,,Елонгошева С.И.,8(38822)66661,"МО ""Город Горно-Алтайск"""
241,ООО «Гоц»,411126063,41101001,"РА г.Горно-Алтайск, ул.Чорос-Гуркина, 31/1","РА г.Горно-Алтайск:  ул.Шоссейная, 30/1",,313-то,В,86,2/8/2012,2/8/2013,,,,,Гоц В.А.,8(38822)28068,"МО ""Город Горно-Алтайск"""
242,ООО «Ресторан»,411152105,41101001,"РА г.Горно-Алтайск, пр.Коммунистический,35","РА г.Горно-Алтайск, пр.Коммунистический,35",,279-то,Г,896,2/11/2011,2/11/2012,,,,,Токтолов Т.М.,89236640374,"МО ""Город Горно-Алтайск"""
243,ООО «Юлия»,411126546,41101001,"РА г.Горно-Алтайск, пр.Коммунистический, 176/2","РА г.Горно-Алтайск:  пр.Коммунистический,176\2",,121-то,Г,52,1/7/2011,1/7/2012,,,1/7/2012,,Абраменко Н.П.,8(38822)26884,"МО ""Город Горно-Алтайск"""
244,ООО «САЯХАТ»,411149127,41101001,"РА г.Горно-Алтайск, пр.Коммунистический,1","РА г.Горно-Алтайск:  ул. Кучияк, 17, пр.Коммунистический,1/8",,315-то,ГА,89,08.17.2012,04.30.2015,,,,,Солтанова Г.К.,89136960782,"МО ""Город Горно-Алтайск"""
245,ООО «Алтайритм»,411126754,41101001,"РА г.Горно-Алтайск, пр.Коммунистический,75","РА г.Горно-Алтайск:  пр. Коммунистический, 75",,265-то,Г,865,08.31.2011,5/9/2012,,,,,Свитенко Л.В.,8(38822)67028,"МО ""Город Горно-Алтайск"""
246,ООО «Феникс»,411127701,41101001,"РА г.Горно-Алтайск, ул.Ленина,21","РА г.Горно-Алтайск:  ул. Ленина, 21;ул. Красногвардейская,51",,283-то,Г,54,12.22.2011,5/9/2012,,,,,Боровикова Л.Л.,89039199013,"МО ""Город Горно-Алтайск"""
247,ООО «Тройка»,411127042,41101001,"РА г.Горно-Алтайск, ул.Чорос-Гуркина,45","РА г.Горно-Алтайск:  ул. Чорос-Гуркина, 45",,273-то,Г,875,10.26.2011,10.26.2012,,,,,Козлов А.В.,8(38822)26885,"МО ""Город Горно-Алтайск"""
248,ООО «Айсберг»,408016127,41101001,"РА Майминский район, с.Майма, ул.Энергетиков,9","РА г.Горно-Алтайск:  пер.Коксинский,3",,271-то,Г,873,09.21.2011,09.13.2012,,,,,Жаловага Е.В.,8(38822)61279,"МО ""Город Горно-Алтайск"""
249,ООО «Калина- трейд»,411125736,41101001,"РА г.Горно-Алтайск, ул.Ленина,220","РА г.Горно-Алтайск:  ул.Ленина, 220 ",,275-то,Г,878,10.31.2011,10.31.2012,,,,,Калинина О.Е.,8(388)2241036,"МО ""Город Горно-Алтайск"""
250,ООО «Диамант»,408016416,40801001,"РА Майминский район, с.Майма, пер.Дачный,7","РА г.Горно-Алтайск: пр. Коммунистический,11",,293-то,ГА,66,05.14.2012,05.14.2013,,,08.23.2012,,Карпова Л.В.,8(388)2241249,"МО ""Город Горно-Алтайск"""
251,ООО «Садко»,411126377,41101001,"РА г.Горно-Алтайск, ул.Алтайская,10","РА г.Горно-Алтайск:  ул. Алтайская, 10",,305-то,ГА,78,1/7/2012,1/7/2013,,,,,Изосимов А.В.,8(38822)28773,"МО ""Город Горно-Алтайск"""
