Реестр выданных лицензий ,,,,,,,,,,
на осуществление розничной продажи алкогольной продукции  действующих на  02.07.2012 г.,,,,,,,,,,
,,,,,,,,,,
№,О лицензиате,ИНН / ОГРН,Дата выдачи лицензии,"Серия, регистр.№",Срок действия лицензии,Адреса территориально обособленных объектов,сведения о действии лицензии,Примечание,Лицензирующий орган,
21,"ООО ""Дельвер"", юр.адрес: 625046, Российская Федерация, Тюменская область, г. Тюмень, ул. 30 лет Победы, д. 119
руков.:Фатеев М.П., тел. (3452) 35-35-95 33-99-23",ИНН 7203090002 ОГРН 1027200783488 (дата регистрации 15.08.02),10/04/2003,72-РАП №3065,09/04/2016,"1)г. Тюмень, ул. Холодильная, д. 134 ""в"", торговый павильон (открыт 10.04.06)
2)г. Тюмень, ул. Моторостроителей, д. 1""в"", торговый павильон (до 15%) (открыт 10.04.06)
",продлена реш. №203 от 08/04/2011  до 09/04/2016, Прим: Дата проверки 27.09.06 (отбор проб)  2.Переоформление реш. 243 от 23.04.07 (изменение юр.адреса) 3.Дата проверки 15.06.10 (предписание) 4.Проверка 02.11.10 (отбор проб),Управление Л и РПР ТО,
,,,,,,"3)г. Тюмень, ул. Тульская, д. 4 ""в"", магазин  (открыт 10.04.06)
4)г. Тюмень, ул. Московский тракт, д. 167, корпус 1, магазин ""Продукты"" (открыт 10.04.06)
",,,,
,,,,,,"5)г. Тюмень, ул. Мельникайте, д. 126, строение 1, магазин ""Продукты""  (открыт 10.04.06)
6)г. Тюмень, ул. Олимпийская, д. 22, строение 1, магазин ""Продукты""  (открыт 10.04.06)
",,,,
,,,,,,"7)г. Тюмень, ул. 30 лет Победы, д. 104, строение 1, ""Торговый центр ""Дельвер""  (открыт 10.04.06)
8)г. Тюмень, ул. Моторостроителей, д. 1, корпус 1, магазин ""Хозяюшка"" (открыт 10.04.06)
",,,,
,,,,,,,,,,
22,"ООО ""Русский стиль"", юр.адрес: 625001, Российская Федерация, Тюменская область, г. Тюмень, ул. Рылеева, д. 33/1
руков.:Моторина Е.А., тел. (3452) 43-65-90",ИНН 7204052842    ОГРН 1037200553422 (дата регистрации 13.01.03),30/04/2003,72-РАП №3096,29/04/2016,"1)г. Тюмень, ул. Рылеева, д. 33/1, магазин ""Русский стиль"" (открыт 30.04.03)
",продлена реш. №252 от 21/04/2011  до 29/04/2016, Прим: Дата проверки 16.10.2008 (отбор проб),Управление Л и РПР ТО,
23,"ООО ""Лотос"", юр.адрес: Российская Федерация, Тюменская область, Тюменский район, р.п. Богандинский, ул. Ломоносова, д. 1
руков.:Скрябин В.Л., тел. 720-201  720-219, факс 720-044",ИНН 7224025124 ОГРН 1027200794235 (дата регистрации 18.09.2002),06/05/2003,72-РАП №1601,05/05/2014,"1)Тюменская область, Тюменский район, р.п. Богандинский, ул. Рабочая, д. 19-а, магазин (открыт 06.05.03)
2)Тюменская область, Тюменский район, 36 км а/д ""Тюмень-Ишим-Омск"", строение 2, закусочная (общепит) (открыт 06.05.03)
",продлена реш. №291 от 29/04/2011  до 05/05/2014, Прим: Дата проверки 07.08.07 (отбор проб)   2.Дата проверки 08.07.10 (замечания),Управление Л и РПР ТО,
,,,,,,"3)Тюменская область, Тюменский район, р.п. Богандинский, ул. Юбилейная, д. 5, помещение 1, магазин ""Лотос"" (открыт 20.12.06)
",,,,
24,"ООО ""Катран"", юр.адрес: Российская Федерация, Тюменская область, 625017, г. Тюмень, ул. Черепанова, д. 76, корпус 3
руков.:Гайдукова В.А., тел. (3452) 43-19-74",ИНН 7203027040  ОГРН 1027200800945 (дата регистрации 27.01.99),15/05/2003,72-РАП №2534,15/05/2016,"1)г. Тюмень, ул. Республики, д. 92/1, магазин (открыт 16.05.06)
2)г. Тюмень, ул. Боровская, д. 2Б/2, магазин (открыт 29.01.07)
",продлена реш. №244 от 20/04/2011  до 15/05/2016, Прим: Дата проверки 23.11.2006 (отбор проб)  2.Дата проверки 04.12.2008 (без нарушений) 3.Проверка 18.11.10 (отбор проб),Управление Л и РПР ТО,
,,,,,,"3)г. Тюмень, ул. Первомайская, д. 58/6, магазин ""Супермаркет"" (открыт 17.07.07)
4)г. Тюмень, ул. Полевая, д. 18, магазин (28.08.09)
",,,,
,,,,,,"5)г. Тюмень, ул. Холодильная, д. 122/1, магазин (открыт 28.04.10)
6)г. Тюмень, ул. Николая Гондатти, д. 9/1, магазин ""Катран"" (открыт 12.08.10)
",,,,
,,,,,,"7)г. Тюмень, ул. Московский тракт, д. 121/1, магазин ""Катран"" (открыт 13.05.11)
8)г. Тюмень, ул. Газовиков, д. 49/2, магазин ""Катран"" (открыт 03.06.11)
",,,,
,,,,,,"9)г. Тюмень, ул. Газовиков, д. 55/4, магазин ""Катран"" (открыт 19.03.12)
",,,,
25,"ООО ""СТОЛЕДА"", юр.адрес: 625023, Российская Федерация, Тюменская область, г. Тюмень, ул. Рижская, д. 78/1
руков.:Товкач Т.С., тел. (3452) 32-11-98  32-10-73",ИНН 7203045313  ОГРН 1027200825805 (дата регистрации 25.11.02),20/05/2003,72-РАП №3126,19/05/2013,"1)г. Тюмень, ул. Рижская, д. 78/1, кафе  ""На Рижской"" (общепит) (открыт 20.05.03)
2)г. Тюмень, ул. Рижская, д. 78/1, пиццерия  ""На Рижской"" (общепит) (открыт 25.05.12)
",продлена реш. №287 от 10/05/2012  до 19/05/2013, Прим: Переоформление реш.№ 260 от 25.04.07 (изменение юр.адреса),Управление Л и РПР ТО,
,,,,,,"3)г. Тюмень, ул. Рижская, д. 78/1, магазин-кулинария  ""На Рижской"" (общепит) (открыт 25.05.12)
",,,,
26,"ООО ""Магазин № 54"", юр.адрес: 625003, Российская Федерация, Тюменская область, г. Тюмень, ул. Чернышевского, д. 28 ""а""
руков.:Мутолапов Д.Ф., тел. (3452) 46-49-76",ИНН 7204006067 ОГРН 1027200825915 (дата регистрации 25.11.02),21/05/2003,72-РАП №3114,20/05/2016,"1)г. Тюмень, ул. Чернышевского, д. 28 ""а"", магазин (открыт 21.05.03)
",продлена реш. №340 от 19/05/2011  до 20/05/2016, Прим: Проверка 07.02.11 (без нарушений),Управление Л и РПР ТО,
27,"ЗАО ""САША и К"", юр.адрес: 625014, Российская Федерация, г. Тюмень, ул. Республики, д. 252, корпус 7, офис 405
руков.:Савченко Д.И., тел. (3452) 220-298",ИНН 7202073558  ОГРН 1027200780562 (дата регистрации 27.06.02),27/05/2003,72-РАП №2359,26/05/2013,"1)г. Тюмень, ул. Харьковская, д. 59 а/8, кафе ""Саша""-бистро  (общепит) (открыт 29.03.05)
2)г. Тюмень, ул. Харьковская, д. 59 а/8, магазин-кулинария  (общепит) (открыт 29.03.05)
",продлена реш. №314 от 04/05/2011  до 26/05/2013, Прим: Дата проверки 02.10.06 (отбор проб)  2. Изменение юр.адреса реш.№314 от 04.05.11)  3. Прверка 19.03.12 (предписание),Управление Л и РПР ТО,
,,,,,,,,,,
28,"ООО ""Чарли-Н"", юр.адрес: 625031, Российская Федерация, Тюменская область, г. Тюмень, проезд Юганский, дом 13а
руков.:Нерсесян Г.В., тел. (3452) 47-01-87, факс (3452) 47-01-87",ИНН 7202105591  ОГРН 1027200867759 (дата регистрации 04.03.02),21/06/2003,72-РАП №2670,20/06/2014,"1)г. Тюмень, ул. Холодильная, д. 134/2, магазин № 1 (открыт 21.06.03)
2)г. Тюмень, ул. Николая Чаплина, д. 115/5, магазин № 2 (открыт 06.08.03)
",продлена реш. №367 от 30/05/2011  до 20/06/2014, Прим: Дата проверки 02.04.07 (отбор проб) 2.Дата проверки 12.04.10 (без нарушений),Управление Л и РПР ТО,
